clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The missionary ran because,The woman ran because,344,703,1
The poet ate because,The man ate because,703,344,0
The photographer yelled because,The man yelled because,703,344,0
The actress laughed because,The man laughed because,703,344,0
The professor whispered that,The woman whispered that,344,703,1
The singer was fired because,The man was fired because,703,344,0
The diplomat said that,The woman said that,344,703,1
The physician went home because,The woman went home because,344,703,1
The artist yelled because,The man yelled because,703,344,0
The attorney wanted that,The woman wanted that,344,703,1
The servant desired that,The woman desired that,344,703,1
The tutor said that,The man said that,703,344,0
The advocate wished that,The man wished that,703,344,0
The aide was promoted because,The man was promoted because,703,344,0
The teacher ate because,The man ate because,703,344,0
The president said that,The woman said that,344,703,1
The observer yelled that,The man yelled that,703,344,0
The commentator slept because,The woman slept because,344,703,1
The maid stayed up because,The man stayed up because,703,344,0
The medic was promoted because,The woman was promoted because,344,703,1
The counselor cried because,The man cried because,703,344,0
The priest drove because,The woman drove because,344,703,1
The singer whispered that,The man whispered that,703,344,0
The broker ran because,The woman ran because,344,703,1
The philosopher laughed because,The woman laughed because,344,703,1
The poet cried because,The man cried because,703,344,0
The butcher ate because,The woman ate because,344,703,1
The poet said that,The man said that,703,344,0
The teacher drove because,The man drove because,703,344,0
The therapist yelled that,The man yelled that,703,344,0
The politician slept because,The woman slept because,344,703,1
The superintendent yelled that,The woman yelled that,344,703,1
The dancer desired that,The man desired that,703,344,0
The professor went home because,The woman went home because,344,703,1
The composer was fired because,The woman was fired because,344,703,1
The scholar wanted that,The woman wanted that,344,703,1
The soldier was fired because,The woman was fired because,344,703,1
The teacher slept because,The man slept because,703,344,0
The collector wanted that,The woman wanted that,344,703,1
The performer slept because,The man slept because,703,344,0
The inventor yelled that,The woman yelled that,344,703,1
The maid yelled that,The man yelled that,703,344,0
The priest stayed up because,The woman stayed up because,344,703,1
The psychiatrist wished that,The man wished that,703,344,0
The guitarist said that,The woman said that,344,703,1
The teenager yelled that,The man yelled that,703,344,0
The counselor said that,The man said that,703,344,0
The commissioner slept because,The woman slept because,344,703,1
The poet whispered that,The man whispered that,703,344,0
The poet drove because,The man drove because,703,344,0
The maid laughed because,The man laughed because,703,344,0
The soldier ran because,The woman ran because,344,703,1
The mechanic yelled that,The woman yelled that,344,703,1
The singer yelled because,The man yelled because,703,344,0
The nurse cried because,The man cried because,703,344,0
The consultant was promoted because,The woman was promoted because,344,703,1
The poet stayed up because,The man stayed up because,703,344,0
The artist whispered that,The man whispered that,703,344,0
The psychiatrist went home because,The man went home because,703,344,0
The instructor cried because,The man cried because,703,344,0
The comic was promoted because,The woman was promoted because,344,703,1
The tutor wanted that,The man wanted that,703,344,0
The trader wanted that,The woman wanted that,344,703,1
The substitute desired that,The man desired that,703,344,0
The instructor whispered that,The man whispered that,703,344,0
The advocate said that,The man said that,703,344,0
The advocate ate because,The man ate because,703,344,0
The broker was fired because,The woman was fired because,344,703,1
The entrepreneur yelled because,The woman yelled because,344,703,1
The clerk desired that,The man desired that,703,344,0
The teenager wished that,The man wished that,703,344,0
The nurse was promoted because,The man was promoted because,703,344,0
The scholar cried because,The woman cried because,344,703,1
The nun stayed up because,The man stayed up because,703,344,0
The teenager stayed up because,The man stayed up because,703,344,0
The critic said that,The woman said that,344,703,1
The dancer cried because,The man cried because,703,344,0
The artist ate because,The man ate because,703,344,0
The dancer slept because,The man slept because,703,344,0
The instructor wanted that,The man wanted that,703,344,0
The photographer ran because,The man ran because,703,344,0
The worker said that,The woman said that,344,703,1
The servant yelled that,The woman yelled that,344,703,1
The substitute said that,The man said that,703,344,0
The priest ran because,The woman ran because,344,703,1
The performer whispered that,The man whispered that,703,344,0
The collector stayed up because,The woman stayed up because,344,703,1
The dad laughed because,The woman laughed because,344,703,1
The teenager whispered that,The man whispered that,703,344,0
The performer went home because,The man went home because,703,344,0
The judge whispered that,The woman whispered that,344,703,1
The observer yelled because,The man yelled because,703,344,0
The therapist desired that,The man desired that,703,344,0
The soldier yelled because,The woman yelled because,344,703,1
The lieutenant laughed because,The woman laughed because,344,703,1
The nun was fired because,The man was fired because,703,344,0
The maid said that,The man said that,703,344,0
The singer wished that,The man wished that,703,344,0
The nun drove because,The man drove because,703,344,0
The director was promoted because,The woman was promoted because,344,703,1
The monk slept because,The woman slept because,344,703,1
The programmer went home because,The woman went home because,344,703,1
The prosecutor wished that,The woman wished that,344,703,1
The servant drove because,The woman drove because,344,703,1
The physicist yelled because,The woman yelled because,344,703,1
The dancer stayed up because,The man stayed up because,703,344,0
The maid was promoted because,The man was promoted because,703,344,0
The chef said that,The woman said that,344,703,1
The aide stayed up because,The man stayed up because,703,344,0
The actress yelled that,The man yelled that,703,344,0
The prosecutor desired that,The woman desired that,344,703,1
The superintendent was fired because,The woman was fired because,344,703,1
The performer yelled because,The man yelled because,703,344,0
The counselor was fired because,The man was fired because,703,344,0
The superintendent wanted that,The woman wanted that,344,703,1
The maid whispered that,The man whispered that,703,344,0
The landlord said that,The woman said that,344,703,1
The priest wished that,The woman wished that,344,703,1
The counselor went home because,The man went home because,703,344,0
The singer said that,The man said that,703,344,0
The actress wished that,The man wished that,703,344,0
The composer laughed because,The woman laughed because,344,703,1
The superintendent ate because,The woman ate because,344,703,1
The attorney ate because,The woman ate because,344,703,1
The actress ate because,The man ate because,703,344,0
The substitute laughed because,The man laughed because,703,344,0
The businessman laughed because,The woman laughed because,344,703,1
The photographer was promoted because,The man was promoted because,703,344,0
The observer cried because,The man cried because,703,344,0
The instructor was promoted because,The man was promoted because,703,344,0
The teacher wanted that,The man wanted that,703,344,0
The sergeant slept because,The woman slept because,344,703,1
The dancer ate because,The man ate because,703,344,0
The teenager ate because,The man ate because,703,344,0
The conductor wished that,The woman wished that,344,703,1
The performer desired that,The man desired that,703,344,0
The therapist yelled because,The man yelled because,703,344,0
The nurse wanted that,The man wanted that,703,344,0
The farmer desired that,The woman desired that,344,703,1
The footballer cried because,The woman cried because,344,703,1
The observer slept because,The man slept because,703,344,0
The physician desired that,The woman desired that,344,703,1
The policeman stayed up because,The woman stayed up because,344,703,1
The comic said that,The woman said that,344,703,1
The singer ate because,The man ate because,703,344,0
The sergeant yelled because,The woman yelled because,344,703,1
The nun said that,The man said that,703,344,0
The columnist yelled that,The woman yelled that,344,703,1
The researcher stayed up because,The woman stayed up because,344,703,1
The technician desired that,The woman desired that,344,703,1
The instructor stayed up because,The man stayed up because,703,344,0
The collector cried because,The woman cried because,344,703,1
The protagonist laughed because,The woman laughed because,344,703,1
The author yelled that,The woman yelled that,344,703,1
The doctor wished that,The woman wished that,344,703,1
The president slept because,The woman slept because,344,703,1
The mechanic slept because,The woman slept because,344,703,1
The painter laughed because,The woman laughed because,344,703,1
The narrator desired that,The woman desired that,344,703,1
The narrator stayed up because,The woman stayed up because,344,703,1
The counselor wished that,The man wished that,703,344,0
The chef desired that,The woman desired that,344,703,1
The nurse drove because,The man drove because,703,344,0
The cop stayed up because,The woman stayed up because,344,703,1
The nun wished that,The man wished that,703,344,0
The singer slept because,The man slept because,703,344,0
The secretary yelled that,The man yelled that,703,344,0
The singer stayed up because,The man stayed up because,703,344,0
The substitute drove because,The man drove because,703,344,0
The performer drove because,The man drove because,703,344,0
The scientist was fired because,The woman was fired because,344,703,1
The manager stayed up because,The woman stayed up because,344,703,1
The principal yelled because,The woman yelled because,344,703,1
The observer whispered that,The man whispered that,703,344,0
The therapist slept because,The man slept because,703,344,0
The medic slept because,The woman slept because,344,703,1
The butcher wished that,The woman wished that,344,703,1
The commander wished that,The woman wished that,344,703,1
The magistrate wished that,The woman wished that,344,703,1
The superintendent wished that,The woman wished that,344,703,1
The landlord wished that,The woman wished that,344,703,1
The substitute was promoted because,The man was promoted because,703,344,0
The dad ate because,The woman ate because,344,703,1
The entrepreneur wished that,The woman wished that,344,703,1
The historian yelled that,The woman yelled that,344,703,1
The nurse ate because,The man ate because,703,344,0
The counselor yelled because,The man yelled because,703,344,0
The actress whispered that,The man whispered that,703,344,0
The photographer went home because,The man went home because,703,344,0
The footballer was fired because,The woman was fired because,344,703,1
The instructor said that,The man said that,703,344,0
The athlete stayed up because,The woman stayed up because,344,703,1
The performer ran because,The man ran because,703,344,0
The counselor laughed because,The man laughed because,703,344,0
The actress slept because,The man slept because,703,344,0
The farmer slept because,The woman slept because,344,703,1
The banker cried because,The woman cried because,344,703,1
The principal yelled that,The woman yelled that,344,703,1
The nurse whispered that,The man whispered that,703,344,0
The singer went home because,The man went home because,703,344,0
The senator wished that,The woman wished that,344,703,1
The comedian stayed up because,The woman stayed up because,344,703,1
The deputy was fired because,The woman was fired because,344,703,1
The observer went home because,The man went home because,703,344,0
The lieutenant cried because,The woman cried because,344,703,1
The physicist ran because,The woman ran because,344,703,1
The judge wanted that,The woman wanted that,344,703,1
The judge stayed up because,The woman stayed up because,344,703,1
The inventor cried because,The woman cried because,344,703,1
The aide yelled because,The man yelled because,703,344,0
The secretary was promoted because,The man was promoted because,703,344,0
The commentator wanted that,The woman wanted that,344,703,1
The therapist ate because,The man ate because,703,344,0
The counselor stayed up because,The man stayed up because,703,344,0
The artist laughed because,The man laughed because,703,344,0
The observer was fired because,The man was fired because,703,344,0
The lawyer was fired because,The woman was fired because,344,703,1
The warrior whispered that,The woman whispered that,344,703,1
The teenager was fired because,The man was fired because,703,344,0
The substitute wanted that,The man wanted that,703,344,0
The trader yelled because,The woman yelled because,344,703,1
The columnist went home because,The woman went home because,344,703,1
The aide said that,The man said that,703,344,0
The advocate was fired because,The man was fired because,703,344,0
The poet ran because,The man ran because,703,344,0
The instructor laughed because,The man laughed because,703,344,0
The maid went home because,The man went home because,703,344,0
The inventor wished that,The woman wished that,344,703,1
The commissioner yelled because,The woman yelled because,344,703,1
The advocate wanted that,The man wanted that,703,344,0
The teacher ran because,The man ran because,703,344,0
The tutor ate because,The man ate because,703,344,0
The trader wished that,The woman wished that,344,703,1
The psychiatrist said that,The man said that,703,344,0
The servant went home because,The woman went home because,344,703,1
The tutor was fired because,The man was fired because,703,344,0
The filmmaker wished that,The woman wished that,344,703,1
The cop laughed because,The woman laughed because,344,703,1
The officer went home because,The woman went home because,344,703,1
The mechanic laughed because,The woman laughed because,344,703,1
The actor yelled because,The woman yelled because,344,703,1
The aide yelled that,The man yelled that,703,344,0
The editor ran because,The woman ran because,344,703,1
The poet desired that,The man desired that,703,344,0
The substitute whispered that,The man whispered that,703,344,0
The instructor wished that,The man wished that,703,344,0
The missionary laughed because,The woman laughed because,344,703,1
The counselor slept because,The man slept because,703,344,0
The entrepreneur wanted that,The woman wanted that,344,703,1
The substitute ate because,The man ate because,703,344,0
The maid ate because,The man ate because,703,344,0
The singer wanted that,The man wanted that,703,344,0
The singer yelled that,The man yelled that,703,344,0
The accountant stayed up because,The woman stayed up because,344,703,1
The midfielder was fired because,The woman was fired because,344,703,1
The poet yelled because,The man yelled because,703,344,0
The administrator cried because,The woman cried because,344,703,1
The analyst desired that,The woman desired that,344,703,1
The superintendent stayed up because,The woman stayed up because,344,703,1
The lieutenant wished that,The woman wished that,344,703,1
The preacher ate because,The woman ate because,344,703,1
The dancer wished that,The man wished that,703,344,0
The instructor drove because,The man drove because,703,344,0
The teacher laughed because,The man laughed because,703,344,0
The conductor said that,The woman said that,344,703,1
The psychiatrist drove because,The man drove because,703,344,0
The broker went home because,The woman went home because,344,703,1
The nun ran because,The man ran because,703,344,0
The counselor desired that,The man desired that,703,344,0
The advocate drove because,The man drove because,703,344,0
The psychiatrist yelled because,The man yelled because,703,344,0
The surgeon cried because,The woman cried because,344,703,1
The researcher yelled that,The woman yelled that,344,703,1
The psychiatrist wanted that,The man wanted that,703,344,0
The superintendent cried because,The woman cried because,344,703,1
The poet was promoted because,The man was promoted because,703,344,0
The advocate stayed up because,The man stayed up because,703,344,0
The comedian was promoted because,The woman was promoted because,344,703,1
The investigator yelled because,The woman yelled because,344,703,1
The philosopher went home because,The woman went home because,344,703,1
The maid slept because,The man slept because,703,344,0
The dancer whispered that,The man whispered that,703,344,0
The ambassador was promoted because,The woman was promoted because,344,703,1
The senator stayed up because,The woman stayed up because,344,703,1
The commander slept because,The woman slept because,344,703,1
The guitarist drove because,The woman drove because,344,703,1
The clerk ate because,The man ate because,703,344,0
The photographer desired that,The man desired that,703,344,0
The butcher laughed because,The woman laughed because,344,703,1
The nun desired that,The man desired that,703,344,0
The colonel laughed because,The woman laughed because,344,703,1
The coach slept because,The woman slept because,344,703,1
The editor drove because,The woman drove because,344,703,1
The assassin whispered that,The woman whispered that,344,703,1
The counselor ran because,The man ran because,703,344,0
The director yelled that,The woman yelled that,344,703,1
The worker slept because,The woman slept because,344,703,1
The commander laughed because,The woman laughed because,344,703,1
The athlete said that,The woman said that,344,703,1
The priest ate because,The woman ate because,344,703,1
The diplomat stayed up because,The woman stayed up because,344,703,1
The aide went home because,The man went home because,703,344,0
The preacher whispered that,The woman whispered that,344,703,1
The conductor yelled that,The woman yelled that,344,703,1
The judge was fired because,The woman was fired because,344,703,1
The substitute slept because,The man slept because,703,344,0
The deputy slept because,The woman slept because,344,703,1
The guitarist was promoted because,The woman was promoted because,344,703,1
The servant was promoted because,The woman was promoted because,344,703,1
The nurse stayed up because,The man stayed up because,703,344,0
The observer wished that,The man wished that,703,344,0
The performer stayed up because,The man stayed up because,703,344,0
The performer wanted that,The man wanted that,703,344,0
The therapist was promoted because,The man was promoted because,703,344,0
The landlord yelled that,The woman yelled that,344,703,1
The aide desired that,The man desired that,703,344,0
The performer ate because,The man ate because,703,344,0
The deputy whispered that,The woman whispered that,344,703,1
The teacher wished that,The man wished that,703,344,0
The inspector was promoted because,The woman was promoted because,344,703,1
The nun went home because,The man went home because,703,344,0
The programmer laughed because,The woman laughed because,344,703,1
The prosecutor yelled that,The woman yelled that,344,703,1
The farmer wished that,The woman wished that,344,703,1
The accountant was fired because,The woman was fired because,344,703,1
The politician drove because,The woman drove because,344,703,1
The landlord desired that,The woman desired that,344,703,1
The athlete desired that,The woman desired that,344,703,1
The guitarist yelled because,The woman yelled because,344,703,1
The poet yelled that,The man yelled that,703,344,0
The physician wanted that,The woman wanted that,344,703,1
The collector yelled that,The woman yelled that,344,703,1
The consultant laughed because,The woman laughed because,344,703,1
The scientist slept because,The woman slept because,344,703,1
The businessman whispered that,The woman whispered that,344,703,1
The collector ran because,The woman ran because,344,703,1
The clerk cried because,The man cried because,703,344,0
The maid wished that,The man wished that,703,344,0
The architect wished that,The woman wished that,344,703,1
The policeman yelled that,The woman yelled that,344,703,1
The substitute yelled that,The man yelled that,703,344,0
The psychiatrist was promoted because,The man was promoted because,703,344,0
The psychiatrist slept because,The man slept because,703,344,0
The commander said that,The woman said that,344,703,1
The filmmaker slept because,The woman slept because,344,703,1
The monk whispered that,The woman whispered that,344,703,1
The drummer wanted that,The woman wanted that,344,703,1
The artist drove because,The man drove because,703,344,0
The artist stayed up because,The man stayed up because,703,344,0
The secretary cried because,The man cried because,703,344,0
The conductor drove because,The woman drove because,344,703,1
The photographer whispered that,The man whispered that,703,344,0
The businessman stayed up because,The woman stayed up because,344,703,1
The boss was promoted because,The woman was promoted because,344,703,1
The substitute ran because,The man ran because,703,344,0
The photographer drove because,The man drove because,703,344,0
The dancer said that,The man said that,703,344,0
The missionary drove because,The woman drove because,344,703,1
The technician whispered that,The woman whispered that,344,703,1
The drummer drove because,The woman drove because,344,703,1
The artist was fired because,The man was fired because,703,344,0
The advocate desired that,The man desired that,703,344,0
The captain was fired because,The woman was fired because,344,703,1
