clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The broker yelled because,The woman yelled because,339,673,1
The president ran because,The woman ran because,339,673,1
The educator desired that,The man desired that,673,339,0
The accountant was promoted because,The woman was promoted because,339,673,1
The maid whispered that,The man whispered that,673,339,0
The banker was fired because,The woman was fired because,339,673,1
The manager was fired because,The woman was fired because,339,673,1
The entrepreneur ate because,The woman ate because,339,673,1
The entrepreneur said that,The woman said that,339,673,1
The medic was fired because,The woman was fired because,339,673,1
The teacher was fired because,The man was fired because,673,339,0
The commander stayed up because,The woman stayed up because,339,673,1
The trooper ran because,The woman ran because,339,673,1
The singer wanted that,The man wanted that,673,339,0
The mathematician laughed because,The woman laughed because,339,673,1
The assassin was promoted because,The woman was promoted because,339,673,1
The midfielder went home because,The woman went home because,339,673,1
The servant said that,The woman said that,339,673,1
The educator yelled that,The man yelled that,673,339,0
The director cried because,The woman cried because,339,673,1
The policeman went home because,The woman went home because,339,673,1
The maid wished that,The man wished that,673,339,0
The advocate whispered that,The man whispered that,673,339,0
The photographer ran because,The man ran because,673,339,0
The poet cried because,The man cried because,673,339,0
The captain was fired because,The woman was fired because,339,673,1
The inspector went home because,The woman went home because,339,673,1
The lawmaker said that,The woman said that,339,673,1
The worker ran because,The woman ran because,339,673,1
The sergeant desired that,The woman desired that,339,673,1
The dad whispered that,The woman whispered that,339,673,1
The analyst ate because,The woman ate because,339,673,1
The maid went home because,The man went home because,673,339,0
The waitress drove because,The man drove because,673,339,0
The doctor drove because,The woman drove because,339,673,1
The narrator said that,The woman said that,339,673,1
The treasurer yelled that,The man yelled that,673,339,0
The chemist whispered that,The woman whispered that,339,673,1
The waiter was fired because,The woman was fired because,339,673,1
The architect was fired because,The woman was fired because,339,673,1
The detective wanted that,The woman wanted that,339,673,1
The artist ate because,The man ate because,673,339,0
The prisoner slept because,The woman slept because,339,673,1
The medic went home because,The woman went home because,339,673,1
The educator drove because,The man drove because,673,339,0
The teacher ate because,The man ate because,673,339,0
The tutor whispered that,The man whispered that,673,339,0
The adventurer stayed up because,The woman stayed up because,339,673,1
The dancer slept because,The man slept because,673,339,0
The dancer said that,The man said that,673,339,0
The composer went home because,The woman went home because,339,673,1
The protester drove because,The man drove because,673,339,0
The photographer said that,The man said that,673,339,0
The waitress said that,The man said that,673,339,0
The colonel was promoted because,The woman was promoted because,339,673,1
The promoter cried because,The woman cried because,339,673,1
The narrator whispered that,The woman whispered that,339,673,1
The teacher cried because,The man cried because,673,339,0
The observer laughed because,The man laughed because,673,339,0
The treasurer desired that,The man desired that,673,339,0
The commissioner ate because,The woman ate because,339,673,1
The deputy was fired because,The woman was fired because,339,673,1
The protester yelled because,The man yelled because,673,339,0
The counselor went home because,The man went home because,673,339,0
The educator wished that,The man wished that,673,339,0
The legislator went home because,The woman went home because,339,673,1
The maid was promoted because,The man was promoted because,673,339,0
The salesman went home because,The woman went home because,339,673,1
The captain said that,The woman said that,339,673,1
The protester ran because,The man ran because,673,339,0
The judge stayed up because,The woman stayed up because,339,673,1
The critic ran because,The woman ran because,339,673,1
The guitarist ran because,The woman ran because,339,673,1
The campaigner desired that,The woman desired that,339,673,1
The drummer drove because,The woman drove because,339,673,1
The nun cried because,The man cried because,673,339,0
The senator yelled that,The woman yelled that,339,673,1
The advocate slept because,The man slept because,673,339,0
The secretary cried because,The man cried because,673,339,0
The protester went home because,The man went home because,673,339,0
The protester cried because,The man cried because,673,339,0
The coach whispered that,The woman whispered that,339,673,1
The journalist went home because,The woman went home because,339,673,1
The secretary stayed up because,The man stayed up because,673,339,0
The psychiatrist yelled because,The man yelled because,673,339,0
The clerk yelled that,The man yelled that,673,339,0
The maid yelled because,The man yelled because,673,339,0
The prisoner yelled because,The woman yelled because,339,673,1
The negotiator slept because,The woman slept because,339,673,1
The inspector yelled that,The woman yelled that,339,673,1
The dancer was fired because,The man was fired because,673,339,0
The preacher wished that,The woman wished that,339,673,1
The chancellor drove because,The woman drove because,339,673,1
The bishop was promoted because,The woman was promoted because,339,673,1
The baker went home because,The man went home because,673,339,0
The sergeant slept because,The woman slept because,339,673,1
The poet desired that,The man desired that,673,339,0
The comic yelled that,The woman yelled that,339,673,1
The treasurer wished that,The man wished that,673,339,0
The psychiatrist wanted that,The man wanted that,673,339,0
The politician whispered that,The woman whispered that,339,673,1
The artist stayed up because,The man stayed up because,673,339,0
The nun ran because,The man ran because,673,339,0
The planner stayed up because,The man stayed up because,673,339,0
The photographer laughed because,The man laughed because,673,339,0
The waitress wished that,The man wished that,673,339,0
The maid ran because,The man ran because,673,339,0
The psychiatrist wished that,The man wished that,673,339,0
The trooper yelled because,The woman yelled because,339,673,1
The teenager laughed because,The man laughed because,673,339,0
The athlete desired that,The woman desired that,339,673,1
The secretary said that,The man said that,673,339,0
The missionary ate because,The woman ate because,339,673,1
The curator ate because,The woman ate because,339,673,1
The worker laughed because,The woman laughed because,339,673,1
The cop yelled that,The woman yelled that,339,673,1
The collector was promoted because,The woman was promoted because,339,673,1
The commentator went home because,The woman went home because,339,673,1
The teacher yelled that,The man yelled that,673,339,0
The chef yelled that,The woman yelled that,339,673,1
The clerk whispered that,The man whispered that,673,339,0
The servant whispered that,The woman whispered that,339,673,1
The counselor was fired because,The man was fired because,673,339,0
The dean said that,The woman said that,339,673,1
The counselor laughed because,The man laughed because,673,339,0
The guitarist yelled because,The woman yelled because,339,673,1
The lawmaker drove because,The woman drove because,339,673,1
The businessman drove because,The woman drove because,339,673,1
The boss was fired because,The woman was fired because,339,673,1
The coach desired that,The woman desired that,339,673,1
The politician drove because,The woman drove because,339,673,1
The mathematician ran because,The woman ran because,339,673,1
The lieutenant yelled that,The woman yelled that,339,673,1
The dad said that,The woman said that,339,673,1
The treasurer whispered that,The man whispered that,673,339,0
The soldier wished that,The woman wished that,339,673,1
The economist went home because,The woman went home because,339,673,1
The composer desired that,The woman desired that,339,673,1
The therapist went home because,The man went home because,673,339,0
The artist laughed because,The man laughed because,673,339,0
The chemist drove because,The woman drove because,339,673,1
The judge cried because,The woman cried because,339,673,1
The assassin cried because,The woman cried because,339,673,1
The instructor laughed because,The man laughed because,673,339,0
The baker ate because,The man ate because,673,339,0
The waiter wished that,The woman wished that,339,673,1
The teenager was fired because,The man was fired because,673,339,0
The promoter wished that,The woman wished that,339,673,1
The educator was fired because,The man was fired because,673,339,0
The singer slept because,The man slept because,673,339,0
The mechanic was fired because,The woman was fired because,339,673,1
The planner laughed because,The man laughed because,673,339,0
The observer said that,The man said that,673,339,0
The director laughed because,The woman laughed because,339,673,1
The teenager was promoted because,The man was promoted because,673,339,0
The therapist cried because,The man cried because,673,339,0
The educator went home because,The man went home because,673,339,0
The farmer laughed because,The woman laughed because,339,673,1
The maid ate because,The man ate because,673,339,0
The baker yelled that,The man yelled that,673,339,0
The promoter drove because,The woman drove because,339,673,1
The goalkeeper went home because,The woman went home because,339,673,1
The counselor wanted that,The man wanted that,673,339,0
The nurse wished that,The man wished that,673,339,0
The advocate desired that,The man desired that,673,339,0
The astronaut was promoted because,The woman was promoted because,339,673,1
The waitress cried because,The man cried because,673,339,0
The superintendent desired that,The woman desired that,339,673,1
The therapist ate because,The man ate because,673,339,0
The tutor desired that,The man desired that,673,339,0
The singer went home because,The man went home because,673,339,0
The planner wanted that,The man wanted that,673,339,0
The clerk stayed up because,The man stayed up because,673,339,0
The nurse was promoted because,The man was promoted because,673,339,0
The detective wished that,The woman wished that,339,673,1
The singer wished that,The man wished that,673,339,0
The astronaut laughed because,The woman laughed because,339,673,1
The strategist drove because,The woman drove because,339,673,1
The journalist cried because,The woman cried because,339,673,1
The inspector desired that,The woman desired that,339,673,1
The instructor yelled that,The man yelled that,673,339,0
The instructor was promoted because,The man was promoted because,673,339,0
The protester was fired because,The man was fired because,673,339,0
The nun ate because,The man ate because,673,339,0
The trader ran because,The woman ran because,339,673,1
The senator was promoted because,The woman was promoted because,339,673,1
The director slept because,The woman slept because,339,673,1
The officer went home because,The woman went home because,339,673,1
The bishop yelled that,The woman yelled that,339,673,1
The waitress was fired because,The man was fired because,673,339,0
The treasurer slept because,The man slept because,673,339,0
The mathematician cried because,The woman cried because,339,673,1
The observer was fired because,The man was fired because,673,339,0
The judge whispered that,The woman whispered that,339,673,1
The substitute stayed up because,The man stayed up because,673,339,0
The ambassador was fired because,The woman was fired because,339,673,1
The therapist said that,The man said that,673,339,0
The doctor wished that,The woman wished that,339,673,1
The nun desired that,The man desired that,673,339,0
The pastor yelled that,The woman yelled that,339,673,1
The president wished that,The woman wished that,339,673,1
The observer whispered that,The man whispered that,673,339,0
The president wanted that,The woman wanted that,339,673,1
The negotiator whispered that,The woman whispered that,339,673,1
The policeman yelled that,The woman yelled that,339,673,1
The missionary yelled that,The woman yelled that,339,673,1
The tutor drove because,The man drove because,673,339,0
The servant wanted that,The woman wanted that,339,673,1
The director desired that,The woman desired that,339,673,1
The aide drove because,The man drove because,673,339,0
The aide slept because,The man slept because,673,339,0
The composer stayed up because,The woman stayed up because,339,673,1
The performer was promoted because,The man was promoted because,673,339,0
The maid laughed because,The man laughed because,673,339,0
The farmer drove because,The woman drove because,339,673,1
The tutor cried because,The man cried because,673,339,0
The instructor wanted that,The man wanted that,673,339,0
The poet wanted that,The man wanted that,673,339,0
The instructor drove because,The man drove because,673,339,0
The manager drove because,The woman drove because,339,673,1
The photographer desired that,The man desired that,673,339,0
The singer drove because,The man drove because,673,339,0
The artist ran because,The man ran because,673,339,0
The actress ran because,The man ran because,673,339,0
The poet said that,The man said that,673,339,0
The protester yelled that,The man yelled that,673,339,0
The clerk yelled because,The man yelled because,673,339,0
The poet was fired because,The man was fired because,673,339,0
The captain yelled because,The woman yelled because,339,673,1
The programmer yelled that,The woman yelled that,339,673,1
The teenager desired that,The man desired that,673,339,0
The captain whispered that,The woman whispered that,339,673,1
The aide went home because,The man went home because,673,339,0
The aide desired that,The man desired that,673,339,0
The performer wished that,The man wished that,673,339,0
The instructor yelled because,The man yelled because,673,339,0
The photographer ate because,The man ate because,673,339,0
The senator was fired because,The woman was fired because,339,673,1
The artist wished that,The man wished that,673,339,0
The performer ate because,The man ate because,673,339,0
The secretary yelled because,The man yelled because,673,339,0
The poet drove because,The man drove because,673,339,0
The teacher laughed because,The man laughed because,673,339,0
The negotiator was promoted because,The woman was promoted because,339,673,1
The teenager drove because,The man drove because,673,339,0
The dancer yelled because,The man yelled because,673,339,0
The observer cried because,The man cried because,673,339,0
The waitress yelled that,The man yelled that,673,339,0
The adventurer said that,The woman said that,339,673,1
The sergeant was fired because,The woman was fired because,339,673,1
