clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", horses and other",horses,animal,['animals'],[4695],", planes and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",horses are a type of,planes are a type of,0.4485845267772674
", lions and other",lions,animal,['animals'],[4695],", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",lions are a type of,miles are a type of,0.1724487990140915
", bears and other",bears,animal,['animals'],[4695],", desks and other",desks,furniture,['furniture'],[13091],bears are a type of,desks are a type of,0.1823381036520004
", tigers and other",tigers,animal,['animals'],[4695],", scientists and other",scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",tigers are a type of,scientists are a type of,0.1184415966272354
", elephants and other",elephants,animal,['animals'],[4695],", Chile and other",Chile,country,"['countries', 'country']","[2678, 1499]",elephants are a type of,Chile is a type of,0.2416818141937255
", deer and other",deer,animal,['animals'],[4695],", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",deer are a type of,governors are a type of,0.1484762877225875
", mice and other",mice,animal,['animals'],[4695],", years and other",years,time,"['time', 'units']","[640, 4991]",mice are a type of,years are a type of,0.2241987735033035
", pigs and other",pigs,animal,['animals'],[4695],", ships and other",ships,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",pigs are a type of,ships are a type of,0.3067586719989776
", rats and other",rats,animal,['animals'],[4695],", rain and other",rain,weather,"['weather', 'natural']","[6193, 3288]",rats are a type of,rain is a type of,0.2420658618211746
", squirrels and other",squirrels,animal,['animals'],[4695],", privates and other",privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",squirrels are a type of,privates are a type of,0.1090011447668075
", rabbits and other",rabbits,animal,['animals'],[4695],", England and other",England,country,"['countries', 'country']","[2678, 1499]",rabbits are a type of,England is a type of,0.1836020946502685
", goats and other",goats,animal,['animals'],[4695],", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",goats are a type of,keyboards are a type of,0.332494169473648
", mooses and other",mooses,animal,['animals'],[4695],", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",mooses are a type of,shacks are a type of,0.1285580694675445
", sheep and other",sheep,animal,['animals'],[4695],", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",sheep are a type of,sons are a type of,0.2476561069488525
", raccoons and other",raccoons,animal,['animals'],[4695],", grasshoppers and other",grasshoppers,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",raccoons are a type of,grasshoppers are a type of,0.1516071856021881
", wolves and other",wolves,animal,['animals'],[4695],", pop and other",pop,music,['music'],[2647],wolves are a type of,pop is a type of,0.1604445278644561
", foxes and other",foxes,animal,['animals'],[4695],", cucumbers and other",cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",foxes are a type of,cucumbers are a type of,0.132567673921585
", hamsters and other",hamsters,animal,['animals'],[4695],", reggae and other",reggae,music,['music'],[2647],hamsters are a type of,reggae is a type of,0.1136731281876564
", elk and other",elk,animal,['animals'],[4695],", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",elk are a type of,businesswomen are a type of,0.1451094001531601
", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",apples are a type of,mayors are a type of,0.2144791483879089
", oranges and other",oranges,fruit,"['fruits', 'fruit']","[15921, 8234]",", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",oranges are a type of,hotels are a type of,0.2937815487384796
", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",", speeding and other",speeding,crime,"['crimes', 'crime']","[6741, 4065]",bananas are a type of,speeding is a type of,0.1734546273946762
", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",grapes are a type of,presidents are a type of,0.1585177630186081
", pears and other",pears,fruit,"['fruits', 'fruit']","[15921, 8234]",", blowfish and other",blowfish,fish,"['fish', 'fishes']","[5916, 49765]",pears are a type of,blowfish are a type of,0.1010168939828872
", peaches and other",peaches,fruit,"['fruits', 'fruit']","[15921, 8234]",", gnats and other",gnats,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",peaches are a type of,gnats are a type of,0.1828854382038116
", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", Japan and other",Japan,country,"['countries', 'country']","[2678, 1499]",strawberries are a type of,Japan is a type of,0.1816799342632293
", grapefruits and other",grapefruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", cockroaches and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",grapefruits are a type of,cockroaches are a type of,0.2135457098484039
", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",", tidal waves and other",tidal waves,weather,"['weather', 'natural']","[6193, 3288]",mangoes are a type of,tidal waves are a type of,0.2684987783432007
", cherries and other",cherries,fruit,"['fruits', 'fruit']","[15921, 8234]",", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",cherries are a type of,corporals are a type of,0.1625783294439315
", lemons and other",lemons,fruit,"['fruits', 'fruit']","[15921, 8234]",", carnations and other",carnations,flower,"['flowers', 'flowering']","[12734, 48573]",lemons are a type of,carnations are a type of,0.1451799720525741
", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", buss and other",buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",blueberries are a type of,buss are a type of,0.212815448641777
", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", mopeds and other",mopeds,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",raspberries are a type of,mopeds are a type of,0.1342020183801651
", starfruits and other",starfruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",starfruits are a type of,carpenters are a type of,0.1473105400800705
", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", spinach and other",spinach,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",guns are a type of,spinach is a type of,0.1944537758827209
", swords and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", flies and other",flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",swords are a type of,flies are a type of,0.1964606642723083
", bombs and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",bombs are a type of,presidents are a type of,0.1465621888637542
", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", bankers and other",bankers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",rifles are a type of,bankers are a type of,0.2099706381559372
", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",maces are a type of,treasurers are a type of,0.2363430112600326
", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",grenades are a type of,weeks are a type of,0.1759476065635681
", missiles and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",missiles are a type of,strawberries are a type of,0.2167435139417648
", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", bras and other",bras,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",handguns are a type of,bras are a type of,0.2123030722141266
", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",spears are a type of,apples are a type of,0.1062061414122581
", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",condominiums are a type of,secretaries of state are a type of,0.1092735826969146
", America and other",America,country,"['countries', 'country']","[2678, 1499]",", milliseconds and other",milliseconds,time,"['time', 'units']","[640, 4991]",America is a type of,milliseconds are a type of,0.1108787879347801
", Canada and other",Canada,country,"['countries', 'country']","[2678, 1499]",", heels and other",heels,footwear,['footwear'],[43463],Canada is a type of,heels are a type of,0.2268316894769668
", France and other",France,country,"['countries', 'country']","[2678, 1499]",", techno and other",techno,music,['music'],[2647],France is a type of,techno is a type of,0.2532073855400085
", Mexico and other",Mexico,country,"['countries', 'country']","[2678, 1499]",", screws and other",screws,tool,['tools'],[4899],Mexico is a type of,screws are a type of,0.2303952276706695
", England and other",England,country,"['countries', 'country']","[2678, 1499]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",England is a type of,potatoes are a type of,0.180790901184082
", Germany and other",Germany,country,"['countries', 'country']","[2678, 1499]",", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",Germany is a type of,fathers are a type of,0.2485485225915908
", Spain and other",Spain,country,"['countries', 'country']","[2678, 1499]",", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",Spain is a type of,wind is a type of,0.2350502014160156
", Italy and other",Italy,country,"['countries', 'country']","[2678, 1499]",", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",Italy is a type of,mothers are a type of,0.2602030336856842
", China and other",China,country,"['countries', 'country']","[2678, 1499]",", carp and other",carp,fish,"['fish', 'fishes']","[5916, 49765]",China is a type of,carp are a type of,0.1658087372779846
", Japan and other",Japan,country,"['countries', 'country']","[2678, 1499]",", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",Japan is a type of,rape is a type of,0.170425996184349
", Russia and other",Russia,country,"['countries', 'country']","[2678, 1499]",", spears and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Russia is a type of,spears are a type of,0.1446715295314788
", Brazil and other",Brazil,country,"['countries', 'country']","[2678, 1499]",", rape and other",rape,crime,"['crimes', 'crime']","[6741, 4065]",Brazil is a type of,rape is a type of,0.2530070841312408
", Ireland and other",Ireland,country,"['countries', 'country']","[2678, 1499]",", cod and other",cod,fish,"['fish', 'fishes']","[5916, 49765]",Ireland is a type of,cod are a type of,0.182083323597908
", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",Australia is a type of,officers are a type of,0.249407947063446
", Iraq and other",Iraq,country,"['countries', 'country']","[2678, 1499]",", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Iraq is a type of,guns are a type of,0.1592941731214523
", Afghanistan and other",Afghanistan,country,"['countries', 'country']","[2678, 1499]",", representatives and other",representatives,politician,"['elected', 'politicians']","[7018, 7602]",Afghanistan is a type of,representatives are a type of,0.1968752741813659
", Argentina and other",Argentina,country,"['countries', 'country']","[2678, 1499]",", trailers and other",trailers,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",Argentina is a type of,trailers are a type of,0.2612690329551697
", India and other",India,country,"['countries', 'country']","[2678, 1499]",", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",India is a type of,jackets are a type of,0.1960888057947158
", Switzerland and other",Switzerland,country,"['countries', 'country']","[2678, 1499]",", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",Switzerland is a type of,fathers are a type of,0.2748340666294098
", Sweden and other",Sweden,country,"['countries', 'country']","[2678, 1499]",", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",Sweden is a type of,miles are a type of,0.2383996248245239
", Chile and other",Chile,country,"['countries', 'country']","[2678, 1499]",", clouds and other",clouds,weather,"['weather', 'natural']","[6193, 3288]",Chile is a type of,clouds are a type of,0.2122706025838852
", Britain and other",Britain,country,"['countries', 'country']","[2678, 1499]",", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",Britain is a type of,rifles are a type of,0.172819122672081
", Iran and other",Iran,country,"['countries', 'country']","[2678, 1499]",", blues and other",blues,music,['music'],[2647],Iran is a type of,blues is a type of,0.1333900243043899
", Portugal and other",Portugal,country,"['countries', 'country']","[2678, 1499]",", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",Portugal is a type of,governors are a type of,0.2355659753084182
", Greece and other",Greece,country,"['countries', 'country']","[2678, 1499]",", soccer and other",soccer,sport,['sports'],[5701],Greece is a type of,soccer is a type of,0.1311162561178207
", Scotland and other",Scotland,country,"['countries', 'country']","[2678, 1499]",", metal and other",metal,music,['music'],[2647],Scotland is a type of,metal is a type of,0.1130152195692062
", Egypt and other",Egypt,country,"['countries', 'country']","[2678, 1499]",", volleyball and other",volleyball,sport,['sports'],[5701],Egypt is a type of,volleyball is a type of,0.1991424709558487
", Israel and other",Israel,country,"['countries', 'country']","[2678, 1499]",", years and other",years,time,"['time', 'units']","[640, 4991]",Israel is a type of,years are a type of,0.1626850813627243
", Peru and other",Peru,country,"['countries', 'country']","[2678, 1499]",", blues and other",blues,music,['music'],[2647],Peru is a type of,blues is a type of,0.2003997564315796
", robbery and other",robbery,crime,"['crimes', 'crime']","[6741, 4065]",", Africa and other",Africa,country,"['countries', 'country']","[2678, 1499]",robbery is a type of,Africa is a type of,0.2584141790866852
", homicide and other",homicide,crime,"['crimes', 'crime']","[6741, 4065]",", boots and other",boots,footwear,['footwear'],[43463],homicide is a type of,boots are a type of,0.2265849113464355
", burglary and other",burglary,crime,"['crimes', 'crime']","[6741, 4065]",", centuries and other",centuries,time,"['time', 'units']","[640, 4991]",burglary is a type of,centuries are a type of,0.2540352344512939
", arson and other",arson,crime,"['crimes', 'crime']","[6741, 4065]",", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",arson is a type of,Australia is a type of,0.169678047299385
", larceny and other",larceny,crime,"['crimes', 'crime']","[6741, 4065]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",larceny is a type of,carpenters are a type of,0.1677170246839523
", kidnapping and other",kidnapping,crime,"['crimes', 'crime']","[6741, 4065]",", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",kidnapping is a type of,weeks are a type of,0.2350817918777465
", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",", skateboards and other",skateboards,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",drug smuggling is a type of,skateboards are a type of,0.1492674499750137
", wrenches and other",wrenches,tool,['tools'],[4899],", rowboats and other",rowboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]",wrenches are a type of,rowboats are a type of,0.1676012873649597
", pliers and other",pliers,tool,['tools'],[4899],", end tables and other",end tables,furniture,['furniture'],[13091],pliers are a type of,end tables are a type of,0.2086199522018432
", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", dance and other",dance,music,['music'],[2647],doctors are a type of,dance is a type of,0.1111660674214363
", accountants and other",accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", coffee tables and other",coffee tables,furniture,['furniture'],[13091],accountants are a type of,coffee tables are a type of,0.2194593399763107
", dentists and other",dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", eons and other",eons,time,"['time', 'units']","[640, 4991]",dentists are a type of,eons are a type of,0.1764221638441085
", engineers and other",engineers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",engineers are a type of,motorcycles are a type of,0.1139925941824913
", janitors and other",janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", irides and other",irides,flower,"['flowers', 'flowering']","[12734, 48573]",janitors are a type of,irides are a type of,0.1235694959759712
", physical therapists and other",physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",", sandpapers and other",sandpapers,tool,['tools'],[4899],physical therapists are a type of,sandpapers are a type of,0.1616093069314956
", football and other",football,sport,['sports'],[5701],", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",football is a type of,drums are a type of,0.2098400145769119
", basketball and other",basketball,sport,['sports'],[5701],", minutes and other",minutes,time,"['time', 'units']","[640, 4991]",basketball is a type of,minutes are a type of,0.35216224193573
", soccer and other",soccer,sport,['sports'],[5701],", blades and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",soccer is a type of,blades are a type of,0.2628348469734192
", baseball and other",baseball,sport,['sports'],[5701],", nurses and other",nurses,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",baseball is a type of,nurses are a type of,0.3806282579898834
", tennis and other",tennis,sport,['sports'],[5701],", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",tennis is a type of,dollars are a type of,0.3430749773979187
", hockey and other",hockey,sport,['sports'],[5701],", daughters and other",daughters,relative,"['relatives', 'family']","[12772, 1641]",hockey is a type of,daughters are a type of,0.350765585899353
", golf and other",golf,sport,['sports'],[5701],", beetles and other",beetles,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",golf is a type of,beetles are a type of,0.2034035325050354
", volleyball and other",volleyball,sport,['sports'],[5701],", months and other",months,time,"['time', 'units']","[640, 4991]",volleyball is a type of,months are a type of,0.3343394696712494
", lacrosse and other",lacrosse,sport,['sports'],[5701],", elk and other",elk,animal,['animals'],[4695],lacrosse is a type of,elk are a type of,0.407311737537384
", rugby and other",rugby,sport,['sports'],[5701],", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",rugby is a type of,captains are a type of,0.286475121974945
", softball and other",softball,sport,['sports'],[5701],", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",softball is a type of,melons are a type of,0.2612247169017792
", field hockey and other",field hockey,sport,['sports'],[5701],", second cousins and other",second cousins,relative,"['relatives', 'family']","[12772, 1641]",field hockey is a type of,second cousins are a type of,0.3186130225658417
", gymnastics and other",gymnastics,sport,['sports'],[5701],", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",gymnastics is a type of,gemstones are a type of,0.2276664972305297
", racquetball and other",racquetball,sport,['sports'],[5701],", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",racquetball is a type of,micrometers are a type of,0.1899516284465789
", wrestling and other",wrestling,sport,['sports'],[5701],", pumps and other",pumps,footwear,['footwear'],[43463],wrestling is a type of,pumps are a type of,0.1353925317525863
", bowling and other",bowling,sport,['sports'],[5701],", alternative and other",alternative,music,['music'],[2647],bowling is a type of,alternative is a type of,0.1304781138896942
", cricket and other",cricket,sport,['sports'],[5701],", professors and other",professors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cricket is a type of,professors are a type of,0.2449737638235092
", hurricanes and other",hurricanes,weather,"['weather', 'natural']","[6193, 3288]",", golf and other",golf,sport,['sports'],[5701],hurricanes are a type of,golf is a type of,0.2191543877124786
", earthquakes and other",earthquakes,weather,"['weather', 'natural']","[6193, 3288]",", arson and other",arson,crime,"['crimes', 'crime']","[6741, 4065]",earthquakes are a type of,arson is a type of,0.241043284535408
", typhoons and other",typhoons,weather,"['weather', 'natural']","[6193, 3288]",", slippers and other",slippers,footwear,['footwear'],[43463],typhoons are a type of,slippers are a type of,0.1322603970766067
", shorts and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",shorts are a type of,chickens are a type of,0.1120176613330841
", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",jackets are a type of,ducks are a type of,0.1196508482098579
", skirts and other",skirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",skirts are a type of,ducks are a type of,0.1486119478940963
", jeanss and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", rubies and other",rubies,gem,"['gem', 'gems']","[16840, 23685]",jeanss are a type of,rubies are a type of,0.117699034512043
", sweatshirts and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",sweatshirts are a type of,carpenters are a type of,0.1542096734046936
", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",drums are a type of,caves are a type of,0.4353495836257934
", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",guitars are a type of,beans are a type of,0.3642423748970032
", flutes and other",flutes,instrument,"['musical', 'instruments']","[10530, 12834]",", pines and other",pines,tree,['trees'],[7150],flutes are a type of,pines are a type of,0.3306310176849365
", pianoes and other",pianoes,instrument,"['musical', 'instruments']","[10530, 12834]",", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",pianoes are a type of,millimeters are a type of,0.1421156972646713
", saxophones and other",saxophones,instrument,"['musical', 'instruments']","[10530, 12834]",", weeping willows and other",weeping willows,tree,['trees'],[7150],saxophones are a type of,weeping willows are a type of,0.4426347017288208
", bass guitars and other",bass guitars,instrument,"['musical', 'instruments']","[10530, 12834]",", softball and other",softball,sport,['sports'],[5701],bass guitars are a type of,softball is a type of,0.2748747766017914
", basses and other",basses,instrument,"['musical', 'instruments']","[10530, 12834]",", fleas and other",fleas,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",basses are a type of,fleas are a type of,0.1115534305572509
", cents and other",cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",cents are a type of,miles are a type of,0.1231756433844566
", pesoes and other",pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", pantss and other",pantss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",pesoes are a type of,pantss are a type of,0.3166722953319549
", francs and other",francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", dogwoods and other",dogwoods,tree,['trees'],[7150],francs are a type of,dogwoods are a type of,0.1290753483772277
", rubles and other",rubles,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", pliers and other",pliers,tool,['tools'],[4899],rubles are a type of,pliers are a type of,0.2014640569686889
", rupees and other",rupees,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",", harmonicas and other",harmonicas,instrument,"['musical', 'instruments']","[10530, 12834]",rupees are a type of,harmonicas are a type of,0.2979756593704223
", eagles and other",eagles,bird,"['birds', 'bird']","[10087, 6512]",", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",eagles are a type of,drug smuggling is a type of,0.1009712368249893
", bluebirds and other",bluebirds,bird,"['birds', 'bird']","[10087, 6512]",", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",bluebirds are a type of,melons are a type of,0.131421685218811
", crows and other",crows,bird,"['birds', 'bird']","[10087, 6512]",", measuring sticks and other",measuring sticks,tool,['tools'],[4899],crows are a type of,measuring sticks are a type of,0.1084775775671005
", hummingbirds and other",hummingbirds,bird,"['birds', 'bird']","[10087, 6512]",", subways and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",hummingbirds are a type of,subways are a type of,0.2780622839927673
", parrots and other",parrots,bird,"['birds', 'bird']","[10087, 6512]",", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",parrots are a type of,shacks are a type of,0.1480107307434082
