clean,corrupted,group,plural
The farmer the dancer hates,The farmers the dancer hates,ML-obj_rel_no_comp_across_anim_all,0
The songs the guard admires,The song the guard admires,ML-obj_rel_no_comp_across_inanim_all,1
The manager near the assistants,The managers near the assistants,ML-prep_anim_all,0
The song the parent hates,The songs the parent hates,ML-obj_rel_no_comp_across_inanim_all,0
The book by the skaters,The books by the skaters,ML-prep_inanim_all,0
The customers next to the architects,The customer next to the architects,ML-prep_anim_all,1
The officer that loves the taxi driver,The officers that love the taxi driver,ML-subj_rel_all,0
The pilot that the assistant admires,The pilots that the assistant admires,ML-obj_rel_across_anim_all,0
The book the taxi driver likes,The books the taxi driver likes,ML-obj_rel_no_comp_across_inanim_all,0
The farmers are young and,The farmer is young and,ML-vp_coord_all,1
The customer the assistant hates,The customers the assistant hates,ML-obj_rel_no_comp_across_anim_all,0
The teachers that like the architect,The teacher that likes the architect,ML-subj_rel_all,1
The pilot the ministers,The pilot the minister,ML-obj_rel_no_comp_within_anim_all,1
The surgeon that loves the taxi drivers,The surgeons that love the taxi drivers,ML-subj_rel_all,0
The officer that the assistants,The officer that the assistant,ML-obj_rel_within_anim_all,1
The consultants that the guard,The consultants that the guards,ML-obj_rel_within_anim_all,0
The manager that loves the skaters,The managers that love the skaters,ML-subj_rel_all,0
The book by the architects,The books by the architects,ML-prep_inanim_all,0
The novel the parents like,The novels the parents like,ML-obj_rel_no_comp_across_inanim_all,0
The farmers that the assistants love,The farmer that the assistants love,ML-obj_rel_across_anim_all,1
The customers that like the chefs,The customer that likes the chefs,ML-subj_rel_all,1
The songs that the skaters hate,The song that the skaters hate,ML-obj_rel_across_inanim_all,1
The pilot is young and,The pilots are young and,ML-vp_coord_all,0
The authors that the taxi driver admires,The author that the taxi driver admires,ML-obj_rel_across_anim_all,1
The senators that like the dancer,The senator that likes the dancer,ML-subj_rel_all,1
The customer that the chefs admire,The customers that the chefs admire,ML-obj_rel_across_anim_all,0
The surgeon that the taxi driver likes,The surgeons that the taxi driver likes,ML-obj_rel_across_anim_all,0
The novel the dancers love,The novels the dancers love,ML-obj_rel_no_comp_across_inanim_all,0
The teachers near the guard,The teacher near the guard,ML-prep_anim_all,1
The game that the guard hates,The games that the guard hates,ML-obj_rel_across_inanim_all,0
The book that the executive likes,The books that the executive likes,ML-obj_rel_across_inanim_all,0
The teachers that the dancers love,The teacher that the dancers love,ML-obj_rel_across_anim_all,1
The shows the architects love,The show the architects love,ML-obj_rel_no_comp_across_inanim_all,1
The surgeons that love the taxi driver,The surgeon that loves the taxi driver,ML-subj_rel_all,1
The pictures the chefs like,The picture the chefs like,ML-obj_rel_no_comp_across_inanim_all,1
The senators the architect loves,The senator the architect loves,ML-obj_rel_no_comp_across_anim_all,1
The farmer that likes the ministers,The farmers that like the ministers,ML-subj_rel_all,0
The managers the ministers,The managers the minister,ML-obj_rel_no_comp_within_anim_all,1
The consultant that the dancer likes,The consultants that the dancer likes,ML-obj_rel_across_anim_all,0
The senators that the skaters like,The senator that the skaters like,ML-obj_rel_across_anim_all,1
The officers in front of the assistant,The officer in front of the assistant,ML-prep_anim_all,1
The books the dancer hates,The book the dancer hates,ML-obj_rel_no_comp_across_inanim_all,1
The authors to the side of the architects,The author to the side of the architects,ML-prep_anim_all,1
The authors in front of the minister,The author in front of the minister,ML-prep_anim_all,1
The movie that the minister likes,The movies that the minister likes,ML-obj_rel_across_inanim_all,0
The pilot across from the architects,The pilots across from the architects,ML-prep_anim_all,0
The teachers that hate the architect,The teacher that hates the architect,ML-subj_rel_all,1
The officers to the side of the executive,The officer to the side of the executive,ML-prep_anim_all,1
The teachers that love the parent,The teacher that loves the parent,ML-subj_rel_all,1
The painting the parents hate,The paintings the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
The show by the parents,The shows by the parents,ML-prep_inanim_all,0
The shows from the parent,The show from the parent,ML-prep_inanim_all,1
The authors the skater hates,The author the skater hates,ML-obj_rel_no_comp_across_anim_all,1
The poem that the chefs hate,The poems that the chefs hate,ML-obj_rel_across_inanim_all,0
The game the assistant admires,The games the assistant admires,ML-obj_rel_no_comp_across_inanim_all,0
The book the skater likes,The books the skater likes,ML-obj_rel_no_comp_across_inanim_all,0
The pictures that the parents,The pictures that the parent,ML-obj_rel_within_inanim_all,1
The consultant next to the parents,The consultants next to the parents,ML-prep_anim_all,0
The teachers that hate the chefs,The teacher that hates the chefs,ML-subj_rel_all,1
The movies that the architects like,The movie that the architects like,ML-obj_rel_across_inanim_all,1
The farmer the dancer likes,The farmers the dancer likes,ML-obj_rel_no_comp_across_anim_all,0
The consultant in front of the dancers,The consultants in front of the dancers,ML-prep_anim_all,0
The manager to the side of the parents,The managers to the side of the parents,ML-prep_anim_all,0
The consultant knows many different foreign languages and,The consultants know many different foreign languages and,ML-long_vp_coord_all,0
The teacher is twenty three years old and,The teachers are twenty three years old and,ML-long_vp_coord_all,0
The painting the taxi drivers love,The paintings the taxi drivers love,ML-obj_rel_no_comp_across_inanim_all,0
The surgeons the skaters admire,The surgeon the skaters admire,ML-obj_rel_no_comp_across_anim_all,1
The farmers that the executive likes,The farmer that the executive likes,ML-obj_rel_across_anim_all,1
The surgeons the dancer likes,The surgeon the dancer likes,ML-obj_rel_no_comp_across_anim_all,1
The officers to the side of the parents,The officer to the side of the parents,ML-prep_anim_all,1
The customers that the ministers love,The customer that the ministers love,ML-obj_rel_across_anim_all,1
The authors that the executive,The authors that the executives,ML-obj_rel_within_anim_all,0
The surgeons that the assistant,The surgeons that the assistants,ML-obj_rel_within_anim_all,0
The officers near the skater,The officer near the skater,ML-prep_anim_all,1
The poem from the guard,The poems from the guard,ML-prep_inanim_all,0
The song that the taxi driver likes,The songs that the taxi driver likes,ML-obj_rel_across_inanim_all,0
The paintings that the parent loves,The painting that the parent loves,ML-obj_rel_across_inanim_all,1
The customers to the side of the chef,The customer to the side of the chef,ML-prep_anim_all,1
The customers the assistants hate,The customer the assistants hate,ML-obj_rel_no_comp_across_anim_all,1
The pilot the ministers like,The pilots the ministers like,ML-obj_rel_no_comp_across_anim_all,0
The customers the parent likes,The customer the parent likes,ML-obj_rel_no_comp_across_anim_all,1
The pilots to the side of the executives,The pilot to the side of the executives,ML-prep_anim_all,1
The surgeons that hate the parents,The surgeon that hates the parents,ML-subj_rel_all,1
The banker thought the teachers,The banker thought the teacher,ML-sent_comp_all,1
The customers that the parent loves,The customer that the parent loves,ML-obj_rel_across_anim_all,1
The pilot next to the ministers,The pilots next to the ministers,ML-prep_anim_all,0
The managers near the taxi driver,The manager near the taxi driver,ML-prep_anim_all,1
The manager next to the chef,The managers next to the chef,ML-prep_anim_all,0
The games the ministers love,The game the ministers love,ML-obj_rel_no_comp_across_inanim_all,1
The novels that the executives love,The novel that the executives love,ML-obj_rel_across_inanim_all,1
The songs by the assistants,The song by the assistants,ML-prep_inanim_all,1
The managers near the chefs,The manager near the chefs,ML-prep_anim_all,1
The officers the guards,The officers the guard,ML-obj_rel_no_comp_within_anim_all,1
The pilots that love the skater,The pilot that loves the skater,ML-subj_rel_all,1
The author that the skater hates,The authors that the skater hates,ML-obj_rel_across_anim_all,0
The books the minister loves,The book the minister loves,ML-obj_rel_no_comp_across_inanim_all,1
The customer the taxi driver hates,The customers the taxi driver hates,ML-obj_rel_no_comp_across_anim_all,0
The consultants that the assistants admire,The consultant that the assistants admire,ML-obj_rel_across_anim_all,1
The surgeon the executive,The surgeon the executives,ML-obj_rel_no_comp_within_anim_all,0
The teachers in front of the parents,The teacher in front of the parents,ML-prep_anim_all,1
The teacher the parent hates,The teachers the parent hates,ML-obj_rel_no_comp_across_anim_all,0
The song that the parent admires,The songs that the parent admires,ML-obj_rel_across_inanim_all,0
The show from the architects,The shows from the architects,ML-prep_inanim_all,0
The farmer that hates the guards,The farmers that hate the guards,ML-subj_rel_all,0
The movie that the executive likes,The movies that the executive likes,ML-obj_rel_across_inanim_all,0
The senator the skater,The senator the skaters,ML-obj_rel_no_comp_within_anim_all,0
The movies from the taxi drivers,The movie from the taxi drivers,ML-prep_inanim_all,1
The picture that the parent hates,The pictures that the parent hates,ML-obj_rel_across_inanim_all,0
The officer the architect likes,The officers the architect likes,ML-obj_rel_no_comp_across_anim_all,0
The managers that the architects love,The manager that the architects love,ML-obj_rel_across_anim_all,1
The poems the executives love,The poem the executives love,ML-obj_rel_no_comp_across_inanim_all,1
The surgeon near the chefs,The surgeons near the chefs,ML-prep_anim_all,0
The officer that the chef likes,The officers that the chef likes,ML-obj_rel_across_anim_all,0
The pilot that hates the skater,The pilots that hate the skater,ML-subj_rel_all,0
The book the dancer,The book the dancers,ML-obj_rel_no_comp_within_inanim_all,0
The customer next to the ministers,The customers next to the ministers,ML-prep_anim_all,0
The poems that the architect hates,The poem that the architect hates,ML-obj_rel_across_inanim_all,1
The show the chefs admire,The shows the chefs admire,ML-obj_rel_no_comp_across_inanim_all,0
The book the architect,The book the architects,ML-obj_rel_no_comp_within_inanim_all,0
The authors that the chefs love,The author that the chefs love,ML-obj_rel_across_anim_all,1
The mechanics said the senator,The mechanics said the senators,ML-sent_comp_all,0
The games that the dancer hates,The game that the dancer hates,ML-obj_rel_across_inanim_all,1
The manager across from the ministers,The managers across from the ministers,ML-prep_anim_all,0
The officer the executive admires,The officers the executive admires,ML-obj_rel_no_comp_across_anim_all,0
The officers that hate the skater,The officer that hates the skater,ML-subj_rel_all,1
The song the parents hate,The songs the parents hate,ML-obj_rel_no_comp_across_inanim_all,0
The surgeon near the ministers,The surgeons near the ministers,ML-prep_anim_all,0
The paintings by the chefs,The painting by the chefs,ML-prep_inanim_all,1
The pilot that likes the dancers,The pilots that like the dancers,ML-subj_rel_all,0
The pilots are young and,The pilot is young and,ML-vp_coord_all,1
The managers next to the skater,The manager next to the skater,ML-prep_anim_all,1
The customer that hates the guard,The customers that hate the guard,ML-subj_rel_all,0
The consultants that the dancer likes,The consultant that the dancer likes,ML-obj_rel_across_anim_all,1
The customer the architects admire,The customers the architects admire,ML-obj_rel_no_comp_across_anim_all,0
The teacher that loves the architects,The teachers that love the architects,ML-subj_rel_all,0
The farmers the taxi drivers hate,The farmer the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,1
The songs that the ministers admire,The song that the ministers admire,ML-obj_rel_across_inanim_all,1
The songs that the taxi drivers love,The song that the taxi drivers love,ML-obj_rel_across_inanim_all,1
The surgeons that the skater loves,The surgeon that the skater loves,ML-obj_rel_across_anim_all,1
The farmers that the ministers hate,The farmer that the ministers hate,ML-obj_rel_across_anim_all,1
The farmers near the chefs,The farmer near the chefs,ML-prep_anim_all,1
The customers that the taxi drivers admire,The customer that the taxi drivers admire,ML-obj_rel_across_anim_all,1
The farmer the guard,The farmer the guards,ML-obj_rel_no_comp_within_anim_all,0
The customers behind the architects,The customer behind the architects,ML-prep_anim_all,1
The farmer to the side of the taxi drivers,The farmers to the side of the taxi drivers,ML-prep_anim_all,0
The song the architect admires,The songs the architect admires,ML-obj_rel_no_comp_across_inanim_all,0
The officer next to the parents,The officers next to the parents,ML-prep_anim_all,0
The teacher the dancer admires,The teachers the dancer admires,ML-obj_rel_no_comp_across_anim_all,0
The painting that the minister loves,The paintings that the minister loves,ML-obj_rel_across_inanim_all,0
The customer that likes the assistants,The customers that like the assistants,ML-subj_rel_all,0
The painting by the chefs,The paintings by the chefs,ML-prep_inanim_all,0
The managers the chef loves,The manager the chef loves,ML-obj_rel_no_comp_across_anim_all,1
The pilots that the assistant hates,The pilot that the assistant hates,ML-obj_rel_across_anim_all,1
The shows that the parents hate,The show that the parents hate,ML-obj_rel_across_inanim_all,1
The consultants next to the assistants,The consultant next to the assistants,ML-prep_anim_all,1
The customers the skaters admire,The customer the skaters admire,ML-obj_rel_no_comp_across_anim_all,1
The pictures from the architects,The picture from the architects,ML-prep_inanim_all,1
The consultant likes to watch television shows and,The consultants like to watch television shows and,ML-long_vp_coord_all,0
The pilots know many different foreign languages and,The pilot knows many different foreign languages and,ML-long_vp_coord_all,1
The movie the chefs like,The movies the chefs like,ML-obj_rel_no_comp_across_inanim_all,0
The pilots near the guards,The pilot near the guards,ML-prep_anim_all,1
The surgeon the architects like,The surgeons the architects like,ML-obj_rel_no_comp_across_anim_all,0
The senator that likes the guards,The senators that like the guards,ML-subj_rel_all,0
The teachers that hate the skaters,The teacher that hates the skaters,ML-subj_rel_all,1
The customers across from the assistants,The customer across from the assistants,ML-prep_anim_all,1
The pilot the taxi drivers admire,The pilots the taxi drivers admire,ML-obj_rel_no_comp_across_anim_all,0
The novel that the parents like,The novels that the parents like,ML-obj_rel_across_inanim_all,0
The managers that hate the parent,The manager that hates the parent,ML-subj_rel_all,1
The consultant to the side of the guards,The consultants to the side of the guards,ML-prep_anim_all,0
The book that the assistants admire,The books that the assistants admire,ML-obj_rel_across_inanim_all,0
The songs the guards love,The song the guards love,ML-obj_rel_no_comp_across_inanim_all,1
The senators that the parents admire,The senator that the parents admire,ML-obj_rel_across_anim_all,1
The consultant near the parents,The consultants near the parents,ML-prep_anim_all,0
The customer behind the taxi driver,The customers behind the taxi driver,ML-prep_anim_all,0
The games the assistants love,The game the assistants love,ML-obj_rel_no_comp_across_inanim_all,1
The mechanics thought the managers,The mechanics thought the manager,ML-sent_comp_all,1
The authors near the executive,The author near the executive,ML-prep_anim_all,1
The author that likes the ministers,The authors that like the ministers,ML-subj_rel_all,0
The books that the chefs like,The book that the chefs like,ML-obj_rel_across_inanim_all,1
The manager that likes the architects,The managers that like the architects,ML-subj_rel_all,0
The movie the assistant likes,The movies the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
The author in front of the assistants,The authors in front of the assistants,ML-prep_anim_all,0
The pilot behind the taxi driver,The pilots behind the taxi driver,ML-prep_anim_all,0
The surgeon the dancers,The surgeon the dancer,ML-obj_rel_no_comp_within_anim_all,1
The poems the chefs,The poems the chef,ML-obj_rel_no_comp_within_inanim_all,1
The novel that the architect loves,The novels that the architect loves,ML-obj_rel_across_inanim_all,0
The customers that love the parents,The customer that loves the parents,ML-subj_rel_all,1
The senator that likes the chef,The senators that like the chef,ML-subj_rel_all,0
The movie the parent likes,The movies the parent likes,ML-obj_rel_no_comp_across_inanim_all,0
The authors that the skater,The authors that the skaters,ML-obj_rel_within_anim_all,0
The customers the architects,The customers the architect,ML-obj_rel_no_comp_within_anim_all,1
The senators that the guards hate,The senator that the guards hate,ML-obj_rel_across_anim_all,1
The officer next to the executives,The officers next to the executives,ML-prep_anim_all,0
The customer that loves the taxi drivers,The customers that love the taxi drivers,ML-subj_rel_all,0
The song the chefs love,The songs the chefs love,ML-obj_rel_no_comp_across_inanim_all,0
The pictures the ministers admire,The picture the ministers admire,ML-obj_rel_no_comp_across_inanim_all,1
The farmer likes to watch television shows and,The farmers like to watch television shows and,ML-long_vp_coord_all,0
The teachers the ministers hate,The teacher the ministers hate,ML-obj_rel_no_comp_across_anim_all,1
The managers the guards like,The manager the guards like,ML-obj_rel_no_comp_across_anim_all,1
The surgeons the executives hate,The surgeon the executives hate,ML-obj_rel_no_comp_across_anim_all,1
The teacher near the parent,The teachers near the parent,ML-prep_anim_all,0
The movie the guard hates,The movies the guard hates,ML-obj_rel_no_comp_across_inanim_all,0
The consultants that the minister likes,The consultant that the minister likes,ML-obj_rel_across_anim_all,1
The consultant that loves the assistant,The consultants that love the assistant,ML-subj_rel_all,0
The consultant that likes the assistants,The consultants that like the assistants,ML-subj_rel_all,0
The novels the chefs,The novels the chef,ML-obj_rel_no_comp_within_inanim_all,1
The managers the skaters like,The manager the skaters like,ML-obj_rel_no_comp_across_anim_all,1
The paintings by the executive,The painting by the executive,ML-prep_inanim_all,1
The customer the chef admires,The customers the chef admires,ML-obj_rel_no_comp_across_anim_all,0
The game that the parent admires,The games that the parent admires,ML-obj_rel_across_inanim_all,0
The manager the parents love,The managers the parents love,ML-obj_rel_no_comp_across_anim_all,0
The senators that the parents love,The senator that the parents love,ML-obj_rel_across_anim_all,1
The painting that the assistants hate,The paintings that the assistants hate,ML-obj_rel_across_inanim_all,0
The pilots the architect likes,The pilot the architect likes,ML-obj_rel_no_comp_across_anim_all,1
The pilots that the architects love,The pilot that the architects love,ML-obj_rel_across_anim_all,1
The senators the guard loves,The senator the guard loves,ML-obj_rel_no_comp_across_anim_all,1
The teacher in front of the executive,The teachers in front of the executive,ML-prep_anim_all,0
The movies by the dancer,The movie by the dancer,ML-prep_inanim_all,1
The authors that the chef hates,The author that the chef hates,ML-obj_rel_across_anim_all,1
The customers behind the dancer,The customer behind the dancer,ML-prep_anim_all,1
The mechanics knew the manager,The mechanics knew the managers,ML-sent_comp_all,0
The movie by the taxi drivers,The movies by the taxi drivers,ML-prep_inanim_all,0
The pilot behind the chef,The pilots behind the chef,ML-prep_anim_all,0
The surgeons that the architects love,The surgeon that the architects love,ML-obj_rel_across_anim_all,1
The songs the skater admires,The song the skater admires,ML-obj_rel_no_comp_across_inanim_all,1
The movies the dancers admire,The movie the dancers admire,ML-obj_rel_no_comp_across_inanim_all,1
The authors that hate the minister,The author that hates the minister,ML-subj_rel_all,1
The farmers that hate the chef,The farmer that hates the chef,ML-subj_rel_all,1
The painting the taxi drivers hate,The paintings the taxi drivers hate,ML-obj_rel_no_comp_across_inanim_all,0
The officer that the architects hate,The officers that the architects hate,ML-obj_rel_across_anim_all,0
The picture that the taxi driver loves,The pictures that the taxi driver loves,ML-obj_rel_across_inanim_all,0
The consultant that the ministers,The consultant that the minister,ML-obj_rel_within_anim_all,1
The senator that the executive,The senator that the executives,ML-obj_rel_within_anim_all,0
The movie that the chef,The movie that the chefs,ML-obj_rel_within_inanim_all,0
The song by the executive,The songs by the executive,ML-prep_inanim_all,0
The managers in front of the parent,The manager in front of the parent,ML-prep_anim_all,1
The surgeon that the guards like,The surgeons that the guards like,ML-obj_rel_across_anim_all,0
The senators the assistants like,The senator the assistants like,ML-obj_rel_no_comp_across_anim_all,1
The senators the executives love,The senator the executives love,ML-obj_rel_no_comp_across_anim_all,1
The novels that the executive loves,The novel that the executive loves,ML-obj_rel_across_inanim_all,1
The surgeons that the executives admire,The surgeon that the executives admire,ML-obj_rel_across_anim_all,1
The consultants the dancers like,The consultant the dancers like,ML-obj_rel_no_comp_across_anim_all,1
The teacher the ministers hate,The teachers the ministers hate,ML-obj_rel_no_comp_across_anim_all,0
The author is short and,The authors are short and,ML-vp_coord_all,0
The show that the parent hates,The shows that the parent hates,ML-obj_rel_across_inanim_all,0
The author that likes the taxi driver,The authors that like the taxi driver,ML-subj_rel_all,0
The consultant is old and,The consultants are old and,ML-vp_coord_all,0
The author next to the taxi drivers,The authors next to the taxi drivers,ML-prep_anim_all,0
The shows that the dancer likes,The show that the dancer likes,ML-obj_rel_across_inanim_all,1
The manager in front of the assistant,The managers in front of the assistant,ML-prep_anim_all,0
The authors in front of the dancers,The author in front of the dancers,ML-prep_anim_all,1
The movie the assistants hate,The movies the assistants hate,ML-obj_rel_no_comp_across_inanim_all,0
The consultants the taxi driver loves,The consultant the taxi driver loves,ML-obj_rel_no_comp_across_anim_all,1
The officers that hate the taxi driver,The officer that hates the taxi driver,ML-subj_rel_all,1
The pilots that the architect,The pilots that the architects,ML-obj_rel_within_anim_all,0
The surgeons are old and,The surgeon is old and,ML-vp_coord_all,1
The pilot that the executives admire,The pilots that the executives admire,ML-obj_rel_across_anim_all,0
The manager the dancer loves,The managers the dancer loves,ML-obj_rel_no_comp_across_anim_all,0
The pilots next to the assistants,The pilot next to the assistants,ML-prep_anim_all,1
The author the architect,The author the architects,ML-obj_rel_no_comp_within_anim_all,0
The farmer the executive hates,The farmers the executive hates,ML-obj_rel_no_comp_across_anim_all,0
The customers that the architects,The customers that the architect,ML-obj_rel_within_anim_all,1
The show that the executives love,The shows that the executives love,ML-obj_rel_across_inanim_all,0
The farmer that the skater likes,The farmers that the skater likes,ML-obj_rel_across_anim_all,0
The songs that the minister admires,The song that the minister admires,ML-obj_rel_across_inanim_all,1
The authors in front of the executives,The author in front of the executives,ML-prep_anim_all,1
The manager that hates the dancer,The managers that hate the dancer,ML-subj_rel_all,0
The show the architects hate,The shows the architects hate,ML-obj_rel_no_comp_across_inanim_all,0
The banker said the consultant,The banker said the consultants,ML-sent_comp_all,0
The game the dancers hate,The games the dancers hate,ML-obj_rel_no_comp_across_inanim_all,0
The painting the assistant likes,The paintings the assistant likes,ML-obj_rel_no_comp_across_inanim_all,0
