,clean,corrupted,group,plural
34,The pilot that likes the dancer,The pilots that like the dancer,ML-subj_rel_all,0
35,The pilot that likes the minister,The pilots that like the minister,ML-subj_rel_all,0
36,The pilot that likes the taxi driver,The pilots that like the taxi driver,ML-subj_rel_all,0
37,The pilot that likes the assistant,The pilots that like the assistant,ML-subj_rel_all,0
38,The pilot that likes the executive,The pilots that like the executive,ML-subj_rel_all,0
39,The pilot that likes the parent,The pilots that like the parent,ML-subj_rel_all,0
40,The pilot that hates the guard,The pilots that hate the guard,ML-subj_rel_all,0
41,The pilot that hates the chef,The pilots that hate the chef,ML-subj_rel_all,0
42,The pilot that hates the architect,The pilots that hate the architect,ML-subj_rel_all,0
43,The pilot that hates the skater,The pilots that hate the skater,ML-subj_rel_all,0
44,The pilot that hates the dancer,The pilots that hate the dancer,ML-subj_rel_all,0
45,The pilot that hates the minister,The pilots that hate the minister,ML-subj_rel_all,0
46,The pilot that hates the taxi driver,The pilots that hate the taxi driver,ML-subj_rel_all,0
47,The pilot that hates the assistant,The pilots that hate the assistant,ML-subj_rel_all,0
48,The pilot that hates the executive,The pilots that hate the executive,ML-subj_rel_all,0
49,The pilot that hates the parent,The pilots that hate the parent,ML-subj_rel_all,0
50,The pilot that loves the guard,The pilots that love the guard,ML-subj_rel_all,0
51,The pilot that loves the chef,The pilots that love the chef,ML-subj_rel_all,0
52,The pilot that loves the architect,The pilots that love the architect,ML-subj_rel_all,0
53,The pilot that loves the skater,The pilots that love the skater,ML-subj_rel_all,0
54,The pilot that loves the dancer,The pilots that love the dancer,ML-subj_rel_all,0
55,The pilot that loves the minister,The pilots that love the minister,ML-subj_rel_all,0
56,The pilot that loves the taxi driver,The pilots that love the taxi driver,ML-subj_rel_all,0
57,The pilot that loves the assistant,The pilots that love the assistant,ML-subj_rel_all,0
58,The pilot that loves the executive,The pilots that love the executive,ML-subj_rel_all,0
59,The pilot that loves the parent,The pilots that love the parent,ML-subj_rel_all,0
60,The surgeon that likes the guard,The surgeons that like the guard,ML-subj_rel_all,0
61,The surgeon that likes the chef,The surgeons that like the chef,ML-subj_rel_all,0
62,The surgeon that likes the architect,The surgeons that like the architect,ML-subj_rel_all,0
63,The surgeon that likes the skater,The surgeons that like the skater,ML-subj_rel_all,0
64,The surgeon that likes the dancer,The surgeons that like the dancer,ML-subj_rel_all,0
65,The surgeon that likes the minister,The surgeons that like the minister,ML-subj_rel_all,0
66,The surgeon that likes the taxi driver,The surgeons that like the taxi driver,ML-subj_rel_all,0
67,The surgeon that likes the assistant,The surgeons that like the assistant,ML-subj_rel_all,0
68,The surgeon that likes the executive,The surgeons that like the executive,ML-subj_rel_all,0
69,The surgeon that likes the parent,The surgeons that like the parent,ML-subj_rel_all,0
70,The surgeon that hates the guard,The surgeons that hate the guard,ML-subj_rel_all,0
71,The surgeon that hates the chef,The surgeons that hate the chef,ML-subj_rel_all,0
72,The surgeon that hates the architect,The surgeons that hate the architect,ML-subj_rel_all,0
73,The surgeon that hates the skater,The surgeons that hate the skater,ML-subj_rel_all,0
74,The surgeon that hates the dancer,The surgeons that hate the dancer,ML-subj_rel_all,0
75,The surgeon that hates the minister,The surgeons that hate the minister,ML-subj_rel_all,0
76,The surgeon that hates the taxi driver,The surgeons that hate the taxi driver,ML-subj_rel_all,0
77,The surgeon that hates the assistant,The surgeons that hate the assistant,ML-subj_rel_all,0
78,The surgeon that hates the executive,The surgeons that hate the executive,ML-subj_rel_all,0
79,The surgeon that hates the parent,The surgeons that hate the parent,ML-subj_rel_all,0
80,The surgeon that loves the guard,The surgeons that love the guard,ML-subj_rel_all,0
81,The surgeon that loves the chef,The surgeons that love the chef,ML-subj_rel_all,0
82,The surgeon that loves the architect,The surgeons that love the architect,ML-subj_rel_all,0
83,The surgeon that loves the skater,The surgeons that love the skater,ML-subj_rel_all,0
84,The surgeon that loves the dancer,The surgeons that love the dancer,ML-subj_rel_all,0
85,The surgeon that loves the minister,The surgeons that love the minister,ML-subj_rel_all,0
86,The surgeon that loves the taxi driver,The surgeons that love the taxi driver,ML-subj_rel_all,0
87,The surgeon that loves the assistant,The surgeons that love the assistant,ML-subj_rel_all,0
88,The surgeon that loves the executive,The surgeons that love the executive,ML-subj_rel_all,0
89,The surgeon that loves the parent,The surgeons that love the parent,ML-subj_rel_all,0
90,The farmer that likes the guard,The farmers that like the guard,ML-subj_rel_all,0
91,The farmer that likes the chef,The farmers that like the chef,ML-subj_rel_all,0
92,The farmer that likes the architect,The farmers that like the architect,ML-subj_rel_all,0
93,The farmer that likes the skater,The farmers that like the skater,ML-subj_rel_all,0
94,The farmer that likes the dancer,The farmers that like the dancer,ML-subj_rel_all,0
95,The farmer that likes the minister,The farmers that like the minister,ML-subj_rel_all,0
96,The farmer that likes the taxi driver,The farmers that like the taxi driver,ML-subj_rel_all,0
97,The farmer that likes the assistant,The farmers that like the assistant,ML-subj_rel_all,0
98,The farmer that likes the executive,The farmers that like the executive,ML-subj_rel_all,0
99,The farmer that likes the parent,The farmers that like the parent,ML-subj_rel_all,0
100,The farmer that hates the guard,The farmers that hate the guard,ML-subj_rel_all,0
101,The farmer that hates the chef,The farmers that hate the chef,ML-subj_rel_all,0
102,The farmer that hates the architect,The farmers that hate the architect,ML-subj_rel_all,0
103,The farmer that hates the skater,The farmers that hate the skater,ML-subj_rel_all,0
104,The farmer that hates the dancer,The farmers that hate the dancer,ML-subj_rel_all,0
105,The farmer that hates the minister,The farmers that hate the minister,ML-subj_rel_all,0
106,The farmer that hates the taxi driver,The farmers that hate the taxi driver,ML-subj_rel_all,0
107,The farmer that hates the assistant,The farmers that hate the assistant,ML-subj_rel_all,0
108,The farmer that hates the executive,The farmers that hate the executive,ML-subj_rel_all,0
109,The farmer that hates the parent,The farmers that hate the parent,ML-subj_rel_all,0
110,The farmer that loves the guard,The farmers that love the guard,ML-subj_rel_all,0
111,The farmer that loves the chef,The farmers that love the chef,ML-subj_rel_all,0
112,The farmer that loves the architect,The farmers that love the architect,ML-subj_rel_all,0
113,The farmer that loves the skater,The farmers that love the skater,ML-subj_rel_all,0
114,The farmer that loves the dancer,The farmers that love the dancer,ML-subj_rel_all,0
115,The farmer that loves the minister,The farmers that love the minister,ML-subj_rel_all,0
116,The farmer that loves the taxi driver,The farmers that love the taxi driver,ML-subj_rel_all,0
117,The farmer that loves the assistant,The farmers that love the assistant,ML-subj_rel_all,0
118,The farmer that loves the executive,The farmers that love the executive,ML-subj_rel_all,0
119,The farmer that loves the parent,The farmers that love the parent,ML-subj_rel_all,0
120,The manager that likes the guard,The managers that like the guard,ML-subj_rel_all,0
121,The manager that likes the chef,The managers that like the chef,ML-subj_rel_all,0
122,The manager that likes the architect,The managers that like the architect,ML-subj_rel_all,0
123,The manager that likes the skater,The managers that like the skater,ML-subj_rel_all,0
124,The manager that likes the dancer,The managers that like the dancer,ML-subj_rel_all,0
125,The manager that likes the minister,The managers that like the minister,ML-subj_rel_all,0
126,The manager that likes the taxi driver,The managers that like the taxi driver,ML-subj_rel_all,0
127,The manager that likes the assistant,The managers that like the assistant,ML-subj_rel_all,0
128,The manager that likes the executive,The managers that like the executive,ML-subj_rel_all,0
129,The manager that likes the parent,The managers that like the parent,ML-subj_rel_all,0
130,The manager that hates the guard,The managers that hate the guard,ML-subj_rel_all,0
131,The manager that hates the chef,The managers that hate the chef,ML-subj_rel_all,0
132,The manager that hates the architect,The managers that hate the architect,ML-subj_rel_all,0
133,The manager that hates the skater,The managers that hate the skater,ML-subj_rel_all,0
134,The manager that hates the dancer,The managers that hate the dancer,ML-subj_rel_all,0
135,The manager that hates the minister,The managers that hate the minister,ML-subj_rel_all,0
136,The manager that hates the taxi driver,The managers that hate the taxi driver,ML-subj_rel_all,0
137,The manager that hates the assistant,The managers that hate the assistant,ML-subj_rel_all,0
138,The manager that hates the executive,The managers that hate the executive,ML-subj_rel_all,0
139,The manager that hates the parent,The managers that hate the parent,ML-subj_rel_all,0
140,The manager that loves the guard,The managers that love the guard,ML-subj_rel_all,0
141,The manager that loves the chef,The managers that love the chef,ML-subj_rel_all,0
142,The manager that loves the architect,The managers that love the architect,ML-subj_rel_all,0
143,The manager that loves the skater,The managers that love the skater,ML-subj_rel_all,0
144,The manager that loves the dancer,The managers that love the dancer,ML-subj_rel_all,0
145,The manager that loves the minister,The managers that love the minister,ML-subj_rel_all,0
146,The manager that loves the taxi driver,The managers that love the taxi driver,ML-subj_rel_all,0
147,The manager that loves the assistant,The managers that love the assistant,ML-subj_rel_all,0
148,The manager that loves the executive,The managers that love the executive,ML-subj_rel_all,0
149,The manager that loves the parent,The managers that love the parent,ML-subj_rel_all,0
150,The customer that likes the guard,The customers that like the guard,ML-subj_rel_all,0
151,The customer that likes the chef,The customers that like the chef,ML-subj_rel_all,0
152,The customer that likes the architect,The customers that like the architect,ML-subj_rel_all,0
153,The customer that likes the skater,The customers that like the skater,ML-subj_rel_all,0
154,The customer that likes the dancer,The customers that like the dancer,ML-subj_rel_all,0
155,The customer that likes the minister,The customers that like the minister,ML-subj_rel_all,0
156,The customer that likes the taxi driver,The customers that like the taxi driver,ML-subj_rel_all,0
157,The customer that likes the assistant,The customers that like the assistant,ML-subj_rel_all,0
158,The customer that likes the executive,The customers that like the executive,ML-subj_rel_all,0
159,The customer that likes the parent,The customers that like the parent,ML-subj_rel_all,0
160,The customer that hates the guard,The customers that hate the guard,ML-subj_rel_all,0
161,The customer that hates the chef,The customers that hate the chef,ML-subj_rel_all,0
162,The customer that hates the architect,The customers that hate the architect,ML-subj_rel_all,0
163,The customer that hates the skater,The customers that hate the skater,ML-subj_rel_all,0
164,The customer that hates the dancer,The customers that hate the dancer,ML-subj_rel_all,0
165,The customer that hates the minister,The customers that hate the minister,ML-subj_rel_all,0
166,The customer that hates the taxi driver,The customers that hate the taxi driver,ML-subj_rel_all,0
167,The customer that hates the assistant,The customers that hate the assistant,ML-subj_rel_all,0
168,The customer that hates the executive,The customers that hate the executive,ML-subj_rel_all,0
169,The customer that hates the parent,The customers that hate the parent,ML-subj_rel_all,0
170,The customer that loves the guard,The customers that love the guard,ML-subj_rel_all,0
171,The customer that loves the chef,The customers that love the chef,ML-subj_rel_all,0
172,The customer that loves the architect,The customers that love the architect,ML-subj_rel_all,0
173,The customer that loves the skater,The customers that love the skater,ML-subj_rel_all,0
174,The customer that loves the dancer,The customers that love the dancer,ML-subj_rel_all,0
175,The customer that loves the minister,The customers that love the minister,ML-subj_rel_all,0
176,The customer that loves the taxi driver,The customers that love the taxi driver,ML-subj_rel_all,0
177,The customer that loves the assistant,The customers that love the assistant,ML-subj_rel_all,0
178,The customer that loves the executive,The customers that love the executive,ML-subj_rel_all,0
179,The customer that loves the parent,The customers that love the parent,ML-subj_rel_all,0
180,The officer that likes the guard,The officers that like the guard,ML-subj_rel_all,0
181,The officer that likes the chef,The officers that like the chef,ML-subj_rel_all,0
182,The officer that likes the architect,The officers that like the architect,ML-subj_rel_all,0
183,The officer that likes the skater,The officers that like the skater,ML-subj_rel_all,0
184,The officer that likes the dancer,The officers that like the dancer,ML-subj_rel_all,0
185,The officer that likes the minister,The officers that like the minister,ML-subj_rel_all,0
186,The officer that likes the taxi driver,The officers that like the taxi driver,ML-subj_rel_all,0
187,The officer that likes the assistant,The officers that like the assistant,ML-subj_rel_all,0
188,The officer that likes the executive,The officers that like the executive,ML-subj_rel_all,0
189,The officer that likes the parent,The officers that like the parent,ML-subj_rel_all,0
190,The officer that hates the guard,The officers that hate the guard,ML-subj_rel_all,0
191,The officer that hates the chef,The officers that hate the chef,ML-subj_rel_all,0
192,The officer that hates the architect,The officers that hate the architect,ML-subj_rel_all,0
193,The officer that hates the skater,The officers that hate the skater,ML-subj_rel_all,0
194,The officer that hates the dancer,The officers that hate the dancer,ML-subj_rel_all,0
195,The officer that hates the minister,The officers that hate the minister,ML-subj_rel_all,0
196,The officer that hates the taxi driver,The officers that hate the taxi driver,ML-subj_rel_all,0
197,The officer that hates the assistant,The officers that hate the assistant,ML-subj_rel_all,0
198,The officer that hates the executive,The officers that hate the executive,ML-subj_rel_all,0
199,The officer that hates the parent,The officers that hate the parent,ML-subj_rel_all,0
200,The officer that loves the guard,The officers that love the guard,ML-subj_rel_all,0
201,The officer that loves the chef,The officers that love the chef,ML-subj_rel_all,0
202,The officer that loves the architect,The officers that love the architect,ML-subj_rel_all,0
203,The officer that loves the skater,The officers that love the skater,ML-subj_rel_all,0
204,The officer that loves the dancer,The officers that love the dancer,ML-subj_rel_all,0
205,The officer that loves the minister,The officers that love the minister,ML-subj_rel_all,0
206,The officer that loves the taxi driver,The officers that love the taxi driver,ML-subj_rel_all,0
207,The officer that loves the assistant,The officers that love the assistant,ML-subj_rel_all,0
208,The officer that loves the executive,The officers that love the executive,ML-subj_rel_all,0
209,The officer that loves the parent,The officers that love the parent,ML-subj_rel_all,0
210,The teacher that likes the guard,The teachers that like the guard,ML-subj_rel_all,0
211,The teacher that likes the chef,The teachers that like the chef,ML-subj_rel_all,0
212,The teacher that likes the architect,The teachers that like the architect,ML-subj_rel_all,0
213,The teacher that likes the skater,The teachers that like the skater,ML-subj_rel_all,0
214,The teacher that likes the dancer,The teachers that like the dancer,ML-subj_rel_all,0
215,The teacher that likes the minister,The teachers that like the minister,ML-subj_rel_all,0
216,The teacher that likes the taxi driver,The teachers that like the taxi driver,ML-subj_rel_all,0
217,The teacher that likes the assistant,The teachers that like the assistant,ML-subj_rel_all,0
218,The teacher that likes the executive,The teachers that like the executive,ML-subj_rel_all,0
219,The teacher that likes the parent,The teachers that like the parent,ML-subj_rel_all,0
220,The teacher that hates the guard,The teachers that hate the guard,ML-subj_rel_all,0
221,The teacher that hates the chef,The teachers that hate the chef,ML-subj_rel_all,0
222,The teacher that hates the architect,The teachers that hate the architect,ML-subj_rel_all,0
223,The teacher that hates the skater,The teachers that hate the skater,ML-subj_rel_all,0
224,The teacher that hates the dancer,The teachers that hate the dancer,ML-subj_rel_all,0
225,The teacher that hates the minister,The teachers that hate the minister,ML-subj_rel_all,0
226,The teacher that hates the taxi driver,The teachers that hate the taxi driver,ML-subj_rel_all,0
227,The teacher that hates the assistant,The teachers that hate the assistant,ML-subj_rel_all,0
228,The teacher that hates the executive,The teachers that hate the executive,ML-subj_rel_all,0
229,The teacher that hates the parent,The teachers that hate the parent,ML-subj_rel_all,0
230,The teacher that loves the guard,The teachers that love the guard,ML-subj_rel_all,0
231,The teacher that loves the chef,The teachers that love the chef,ML-subj_rel_all,0
232,The teacher that loves the architect,The teachers that love the architect,ML-subj_rel_all,0
233,The teacher that loves the skater,The teachers that love the skater,ML-subj_rel_all,0
234,The teacher that loves the dancer,The teachers that love the dancer,ML-subj_rel_all,0
235,The teacher that loves the minister,The teachers that love the minister,ML-subj_rel_all,0
236,The teacher that loves the taxi driver,The teachers that love the taxi driver,ML-subj_rel_all,0
237,The teacher that loves the assistant,The teachers that love the assistant,ML-subj_rel_all,0
238,The teacher that loves the executive,The teachers that love the executive,ML-subj_rel_all,0
239,The teacher that loves the parent,The teachers that love the parent,ML-subj_rel_all,0
240,The senator that likes the guard,The senators that like the guard,ML-subj_rel_all,0
241,The senator that likes the chef,The senators that like the chef,ML-subj_rel_all,0
242,The senator that likes the architect,The senators that like the architect,ML-subj_rel_all,0
243,The senator that likes the skater,The senators that like the skater,ML-subj_rel_all,0
244,The senator that likes the dancer,The senators that like the dancer,ML-subj_rel_all,0
245,The senator that likes the minister,The senators that like the minister,ML-subj_rel_all,0
246,The senator that likes the taxi driver,The senators that like the taxi driver,ML-subj_rel_all,0
247,The senator that likes the assistant,The senators that like the assistant,ML-subj_rel_all,0
248,The senator that likes the executive,The senators that like the executive,ML-subj_rel_all,0
249,The senator that likes the parent,The senators that like the parent,ML-subj_rel_all,0
250,The senator that hates the guard,The senators that hate the guard,ML-subj_rel_all,0
251,The senator that hates the chef,The senators that hate the chef,ML-subj_rel_all,0
252,The senator that hates the architect,The senators that hate the architect,ML-subj_rel_all,0
253,The senator that hates the skater,The senators that hate the skater,ML-subj_rel_all,0
254,The senator that hates the dancer,The senators that hate the dancer,ML-subj_rel_all,0
255,The senator that hates the minister,The senators that hate the minister,ML-subj_rel_all,0
256,The senator that hates the taxi driver,The senators that hate the taxi driver,ML-subj_rel_all,0
257,The senator that hates the assistant,The senators that hate the assistant,ML-subj_rel_all,0
258,The senator that hates the executive,The senators that hate the executive,ML-subj_rel_all,0
259,The senator that hates the parent,The senators that hate the parent,ML-subj_rel_all,0
260,The senator that loves the guard,The senators that love the guard,ML-subj_rel_all,0
261,The senator that loves the chef,The senators that love the chef,ML-subj_rel_all,0
262,The senator that loves the architect,The senators that love the architect,ML-subj_rel_all,0
263,The senator that loves the skater,The senators that love the skater,ML-subj_rel_all,0
264,The senator that loves the dancer,The senators that love the dancer,ML-subj_rel_all,0
265,The senator that loves the minister,The senators that love the minister,ML-subj_rel_all,0
266,The senator that loves the taxi driver,The senators that love the taxi driver,ML-subj_rel_all,0
267,The senator that loves the assistant,The senators that love the assistant,ML-subj_rel_all,0
268,The senator that loves the executive,The senators that love the executive,ML-subj_rel_all,0
269,The senator that loves the parent,The senators that love the parent,ML-subj_rel_all,0
270,The consultant that likes the guard,The consultants that like the guard,ML-subj_rel_all,0
271,The consultant that likes the chef,The consultants that like the chef,ML-subj_rel_all,0
272,The consultant that likes the architect,The consultants that like the architect,ML-subj_rel_all,0
273,The consultant that likes the skater,The consultants that like the skater,ML-subj_rel_all,0
274,The consultant that likes the dancer,The consultants that like the dancer,ML-subj_rel_all,0
275,The consultant that likes the minister,The consultants that like the minister,ML-subj_rel_all,0
276,The consultant that likes the taxi driver,The consultants that like the taxi driver,ML-subj_rel_all,0
277,The consultant that likes the assistant,The consultants that like the assistant,ML-subj_rel_all,0
278,The consultant that likes the executive,The consultants that like the executive,ML-subj_rel_all,0
279,The consultant that likes the parent,The consultants that like the parent,ML-subj_rel_all,0
280,The consultant that hates the guard,The consultants that hate the guard,ML-subj_rel_all,0
281,The consultant that hates the chef,The consultants that hate the chef,ML-subj_rel_all,0
282,The consultant that hates the architect,The consultants that hate the architect,ML-subj_rel_all,0
283,The consultant that hates the skater,The consultants that hate the skater,ML-subj_rel_all,0
284,The consultant that hates the dancer,The consultants that hate the dancer,ML-subj_rel_all,0
285,The consultant that hates the minister,The consultants that hate the minister,ML-subj_rel_all,0
286,The consultant that hates the taxi driver,The consultants that hate the taxi driver,ML-subj_rel_all,0
287,The consultant that hates the assistant,The consultants that hate the assistant,ML-subj_rel_all,0
288,The consultant that hates the executive,The consultants that hate the executive,ML-subj_rel_all,0
289,The consultant that hates the parent,The consultants that hate the parent,ML-subj_rel_all,0
290,The consultant that loves the guard,The consultants that love the guard,ML-subj_rel_all,0
291,The consultant that loves the chef,The consultants that love the chef,ML-subj_rel_all,0
292,The consultant that loves the architect,The consultants that love the architect,ML-subj_rel_all,0
293,The consultant that loves the skater,The consultants that love the skater,ML-subj_rel_all,0
294,The consultant that loves the dancer,The consultants that love the dancer,ML-subj_rel_all,0
295,The consultant that loves the minister,The consultants that love the minister,ML-subj_rel_all,0
296,The consultant that loves the taxi driver,The consultants that love the taxi driver,ML-subj_rel_all,0
297,The consultant that loves the assistant,The consultants that love the assistant,ML-subj_rel_all,0
298,The consultant that loves the executive,The consultants that love the executive,ML-subj_rel_all,0
299,The consultant that loves the parent,The consultants that love the parent,ML-subj_rel_all,0
300,The author that likes the guards,The authors that like the guards,ML-subj_rel_all,0
301,The author that likes the chefs,The authors that like the chefs,ML-subj_rel_all,0
302,The author that likes the architects,The authors that like the architects,ML-subj_rel_all,0
303,The author that likes the skaters,The authors that like the skaters,ML-subj_rel_all,0
304,The author that likes the dancers,The authors that like the dancers,ML-subj_rel_all,0
305,The author that likes the ministers,The authors that like the ministers,ML-subj_rel_all,0
306,The author that likes the taxi drivers,The authors that like the taxi drivers,ML-subj_rel_all,0
307,The author that likes the assistants,The authors that like the assistants,ML-subj_rel_all,0
308,The author that likes the executives,The authors that like the executives,ML-subj_rel_all,0
309,The author that likes the parents,The authors that like the parents,ML-subj_rel_all,0
310,The author that hates the guards,The authors that hate the guards,ML-subj_rel_all,0
311,The author that hates the chefs,The authors that hate the chefs,ML-subj_rel_all,0
312,The author that hates the architects,The authors that hate the architects,ML-subj_rel_all,0
313,The author that hates the skaters,The authors that hate the skaters,ML-subj_rel_all,0
314,The author that hates the dancers,The authors that hate the dancers,ML-subj_rel_all,0
315,The author that hates the ministers,The authors that hate the ministers,ML-subj_rel_all,0
316,The author that hates the taxi drivers,The authors that hate the taxi drivers,ML-subj_rel_all,0
317,The author that hates the assistants,The authors that hate the assistants,ML-subj_rel_all,0
318,The author that hates the executives,The authors that hate the executives,ML-subj_rel_all,0
319,The author that hates the parents,The authors that hate the parents,ML-subj_rel_all,0
320,The author that loves the guards,The authors that love the guards,ML-subj_rel_all,0
321,The author that loves the chefs,The authors that love the chefs,ML-subj_rel_all,0
322,The author that loves the architects,The authors that love the architects,ML-subj_rel_all,0
323,The author that loves the skaters,The authors that love the skaters,ML-subj_rel_all,0
324,The author that loves the dancers,The authors that love the dancers,ML-subj_rel_all,0
325,The author that loves the ministers,The authors that love the ministers,ML-subj_rel_all,0
326,The author that loves the taxi drivers,The authors that love the taxi drivers,ML-subj_rel_all,0
327,The author that loves the assistants,The authors that love the assistants,ML-subj_rel_all,0
328,The author that loves the executives,The authors that love the executives,ML-subj_rel_all,0
329,The author that loves the parents,The authors that love the parents,ML-subj_rel_all,0
330,The pilot that likes the guards,The pilots that like the guards,ML-subj_rel_all,0
331,The pilot that likes the chefs,The pilots that like the chefs,ML-subj_rel_all,0
332,The pilot that likes the architects,The pilots that like the architects,ML-subj_rel_all,0
333,The pilot that likes the skaters,The pilots that like the skaters,ML-subj_rel_all,0
334,The pilot that likes the dancers,The pilots that like the dancers,ML-subj_rel_all,0
335,The pilot that likes the ministers,The pilots that like the ministers,ML-subj_rel_all,0
336,The pilot that likes the taxi drivers,The pilots that like the taxi drivers,ML-subj_rel_all,0
337,The pilot that likes the assistants,The pilots that like the assistants,ML-subj_rel_all,0
338,The pilot that likes the executives,The pilots that like the executives,ML-subj_rel_all,0
339,The pilot that likes the parents,The pilots that like the parents,ML-subj_rel_all,0
340,The pilot that hates the guards,The pilots that hate the guards,ML-subj_rel_all,0
341,The pilot that hates the chefs,The pilots that hate the chefs,ML-subj_rel_all,0
342,The pilot that hates the architects,The pilots that hate the architects,ML-subj_rel_all,0
343,The pilot that hates the skaters,The pilots that hate the skaters,ML-subj_rel_all,0
344,The pilot that hates the dancers,The pilots that hate the dancers,ML-subj_rel_all,0
345,The pilot that hates the ministers,The pilots that hate the ministers,ML-subj_rel_all,0
346,The pilot that hates the taxi drivers,The pilots that hate the taxi drivers,ML-subj_rel_all,0
347,The pilot that hates the assistants,The pilots that hate the assistants,ML-subj_rel_all,0
348,The pilot that hates the executives,The pilots that hate the executives,ML-subj_rel_all,0
349,The pilot that hates the parents,The pilots that hate the parents,ML-subj_rel_all,0
350,The pilot that loves the guards,The pilots that love the guards,ML-subj_rel_all,0
351,The pilot that loves the chefs,The pilots that love the chefs,ML-subj_rel_all,0
352,The pilot that loves the architects,The pilots that love the architects,ML-subj_rel_all,0
353,The pilot that loves the skaters,The pilots that love the skaters,ML-subj_rel_all,0
354,The pilot that loves the dancers,The pilots that love the dancers,ML-subj_rel_all,0
355,The pilot that loves the ministers,The pilots that love the ministers,ML-subj_rel_all,0
356,The pilot that loves the taxi drivers,The pilots that love the taxi drivers,ML-subj_rel_all,0
357,The pilot that loves the assistants,The pilots that love the assistants,ML-subj_rel_all,0
358,The pilot that loves the executives,The pilots that love the executives,ML-subj_rel_all,0
359,The pilot that loves the parents,The pilots that love the parents,ML-subj_rel_all,0
360,The surgeon that likes the guards,The surgeons that like the guards,ML-subj_rel_all,0
361,The surgeon that likes the chefs,The surgeons that like the chefs,ML-subj_rel_all,0
362,The surgeon that likes the architects,The surgeons that like the architects,ML-subj_rel_all,0
363,The surgeon that likes the skaters,The surgeons that like the skaters,ML-subj_rel_all,0
364,The surgeon that likes the dancers,The surgeons that like the dancers,ML-subj_rel_all,0
365,The surgeon that likes the ministers,The surgeons that like the ministers,ML-subj_rel_all,0
366,The surgeon that likes the taxi drivers,The surgeons that like the taxi drivers,ML-subj_rel_all,0
367,The surgeon that likes the assistants,The surgeons that like the assistants,ML-subj_rel_all,0
368,The surgeon that likes the executives,The surgeons that like the executives,ML-subj_rel_all,0
369,The surgeon that likes the parents,The surgeons that like the parents,ML-subj_rel_all,0
370,The surgeon that hates the guards,The surgeons that hate the guards,ML-subj_rel_all,0
371,The surgeon that hates the chefs,The surgeons that hate the chefs,ML-subj_rel_all,0
372,The surgeon that hates the architects,The surgeons that hate the architects,ML-subj_rel_all,0
373,The surgeon that hates the skaters,The surgeons that hate the skaters,ML-subj_rel_all,0
374,The surgeon that hates the dancers,The surgeons that hate the dancers,ML-subj_rel_all,0
375,The surgeon that hates the ministers,The surgeons that hate the ministers,ML-subj_rel_all,0
376,The surgeon that hates the taxi drivers,The surgeons that hate the taxi drivers,ML-subj_rel_all,0
377,The surgeon that hates the assistants,The surgeons that hate the assistants,ML-subj_rel_all,0
378,The surgeon that hates the executives,The surgeons that hate the executives,ML-subj_rel_all,0
379,The surgeon that hates the parents,The surgeons that hate the parents,ML-subj_rel_all,0
380,The surgeon that loves the guards,The surgeons that love the guards,ML-subj_rel_all,0
