,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
907,"Then, Crystal and Jacob were thinking about going to the restaurant. Jacob wanted to give a drink to","Then, Crystal and Jacob were thinking about going to the restaurant. Lindsey wanted to give a drink to","Then, Crystal and Jacob were thinking about going to the restaurant. Crystal wanted to give a drink to",29509,14737
827,"Then, Rachel and Megan went to the garden. Rachel gave a ring to","Then, Rachel and Megan went to the garden. Amanda gave a ring to","Then, Rachel and Megan went to the garden. Megan gave a ring to",45867,22739
289,"After Nathan and Tyler went to the house, Tyler gave a ring to","After Nathan and Tyler went to the house, Mary gave a ring to","After Nathan and Tyler went to the house, Nathan gave a ring to",23662,26953
638,"When James and Jason got a ring at the garden, Jason decided to give it to","When James and Jason got a ring at the garden, Jeremy decided to give it to","When James and Jason got a ring at the garden, James decided to give it to",5490,16553
693,"Then, Jose and Christina had a long argument, and afterwards Jose said to","Then, Jose and Christina had a long argument, and afterwards Elizabeth said to","Then, Jose and Christina had a long argument, and afterwards Christina said to",47831,7924
565,"After Robert and Sarah went to the hospital, Robert gave a ring to","After Robert and Sarah went to the hospital, Jonathan gave a ring to","After Robert and Sarah went to the hospital, Sarah gave a ring to",15458,6911
342,"After Brandon and Amanda went to the restaurant, Amanda gave a snack to","After Brandon and Amanda went to the restaurant, Samuel gave a snack to","After Brandon and Amanda went to the restaurant, Brandon gave a snack to",29040,33811
151,"Then, Timothy and Shannon were working at the station. Shannon decided to give a basketball to","Then, Timothy and Shannon were working at the station. Amanda decided to give a basketball to","Then, Timothy and Shannon were working at the station. Timothy decided to give a basketball to",32905,35175
227,"After Daniel and Sean went to the restaurant, Sean gave a basketball to","After Daniel and Sean went to the restaurant, Rachel gave a basketball to","After Daniel and Sean went to the restaurant, Daniel gave a basketball to",10213,22723
656,"Then, Eric and Nicholas went to the station. Eric gave a bone to","Then, Eric and Nicholas went to the station. Emily gave a bone to","Then, Eric and Nicholas went to the station. Nicholas gave a bone to",26876,12284
894,"Then, Nicole and Heather had a long argument, and afterwards Nicole said to","Then, Nicole and Heather had a long argument, and afterwards Jason said to","Then, Nicole and Heather had a long argument, and afterwards Heather said to",37083,37930
694,"When Rachel and Erin got a kiss at the store, Rachel decided to give it to","When Rachel and Erin got a kiss at the store, Christopher decided to give it to","When Rachel and Erin got a kiss at the store, Erin decided to give it to",46604,22739
865,"Then, Ryan and Brandon were thinking about going to the station. Ryan wanted to give a bone to","Then, Ryan and Brandon were thinking about going to the station. Emily wanted to give a bone to","Then, Ryan and Brandon were thinking about going to the station. Brandon wanted to give a bone to",29040,13114
477,"Then, Thomas and Anthony went to the store. Thomas gave a snack to","Then, Thomas and Anthony went to the store. Heather gave a snack to","Then, Thomas and Anthony went to the store. Anthony gave a snack to",16358,7195
98,"Then, Sarah and Michael were thinking about going to the house. Michael wanted to give a basketball to","Then, Sarah and Michael were thinking about going to the house. Christine wanted to give a basketball to","Then, Sarah and Michael were thinking about going to the house. Sarah wanted to give a basketball to",15458,6277
302,"When Jeffrey and Jamie got a ring at the school, Jeffrey decided to give it to","When Jeffrey and Jamie got a ring at the school, Daniel decided to give it to","When Jeffrey and Jamie got a ring at the school, Jamie decided to give it to",27283,30274
426,"Then, Shannon and Michael had a lot of fun at the house. Shannon gave a kiss to","Then, Shannon and Michael had a lot of fun at the house. Erin gave a kiss to","Then, Shannon and Michael had a lot of fun at the house. Michael gave a kiss to",6277,35175
490,"Then, Patrick and Tyler were thinking about going to the restaurant. Tyler wanted to give a computer to","Then, Patrick and Tyler were thinking about going to the restaurant. Nathan wanted to give a computer to","Then, Patrick and Tyler were thinking about going to the restaurant. Patrick wanted to give a computer to",15435,26953
706,"Then, Nathan and Robert were thinking about going to the store. Nathan wanted to give a kiss to","Then, Nathan and Robert were thinking about going to the store. Joshua wanted to give a kiss to","Then, Nathan and Robert were thinking about going to the store. Robert wanted to give a kiss to",6911,23662
16,"Then, William and Laura went to the office. William gave a bone to","Then, William and Laura went to the office. Sarah gave a bone to","Then, William and Laura went to the office. Laura gave a bone to",21960,7252
267,"Then, Jonathan and Megan were thinking about going to the house. Jonathan wanted to give a ring to","Then, Jonathan and Megan were thinking about going to the house. John wanted to give a ring to","Then, Jonathan and Megan were thinking about going to the house. Megan wanted to give a ring to",45867,18985
777,"After John and Alexander went to the store, John gave a computer to","After John and Alexander went to the store, Daniel gave a computer to","After John and Alexander went to the store, Alexander gave a computer to",13651,2516
29,"Then, Sara and Jessica had a lot of fun at the house. Jessica gave a necklace to","Then, Sara and Jessica had a lot of fun at the house. Cody gave a necklace to","Then, Sara and Jessica had a lot of fun at the house. Sara gave a necklace to",31336,29489
270,"Then, Michelle and Jennifer had a long argument, and afterwards Michelle said to","Then, Michelle and Jennifer had a long argument, and afterwards Melissa said to","Then, Michelle and Jennifer had a long argument, and afterwards Jennifer said to",26355,28331
235,"Then, Jessica and Emily were thinking about going to the office. Emily wanted to give a necklace to","Then, Jessica and Emily were thinking about going to the office. Crystal wanted to give a necklace to","Then, Jessica and Emily were thinking about going to the office. Jessica wanted to give a necklace to",29489,24504
997,"Then, James and Robert were working at the office. James decided to give a snack to","Then, James and Robert were working at the office. Nicole decided to give a snack to","Then, James and Robert were working at the office. Robert decided to give a snack to",6911,5490
287,"Then, Joshua and Patrick were working at the office. Joshua decided to give a snack to","Then, Joshua and Patrick were working at the office. Justin decided to give a snack to","Then, Joshua and Patrick were working at the office. Patrick decided to give a snack to",15435,29092
263,"Then, William and Mark went to the store. William gave a ring to","Then, William and Mark went to the store. Erin gave a ring to","Then, William and Mark went to the store. Mark gave a ring to",4744,7252
797,"When Andrew and Kevin got a kiss at the house, Kevin decided to give it to","When Andrew and Kevin got a kiss at the house, Kyle decided to give it to","When Andrew and Kevin got a kiss at the house, Andrew decided to give it to",11116,15273
949,"Then, Erin and Shannon went to the school. Erin gave a snack to","Then, Erin and Shannon went to the school. Mark gave a snack to","Then, Erin and Shannon went to the school. Shannon gave a snack to",35175,46604
27,"Then, Lindsey and Eric were working at the office. Lindsey decided to give a kiss to","Then, Lindsey and Eric were working at the office. Jennifer decided to give a kiss to","Then, Lindsey and Eric were working at the office. Eric decided to give a kiss to",12284,50178
201,"After Jamie and Joseph went to the restaurant, Jamie gave a basketball to","After Jamie and Joseph went to the restaurant, Kyle gave a basketball to","After Jamie and Joseph went to the restaurant, Joseph gave a basketball to",10092,27283
53,"Then, Christine and Andrea went to the office. Christine gave a necklace to","Then, Christine and Andrea went to the office. Erin gave a necklace to","Then, Christine and Andrea went to the office. Andrea gave a necklace to",35944,36449
121,"Then, Elizabeth and Megan were working at the office. Elizabeth decided to give a drink to","Then, Elizabeth and Megan were working at the office. James decided to give a drink to","Then, Elizabeth and Megan were working at the office. Megan decided to give a drink to",45867,12694
2,"After Laura and Megan went to the restaurant, Megan gave a computer to","After Laura and Megan went to the restaurant, Jason gave a computer to","After Laura and Megan went to the restaurant, Laura gave a computer to",21960,45867
149,"Then, Megan and Christopher were working at the station. Megan decided to give a necklace to","Then, Megan and Christopher were working at the station. Katherine decided to give a necklace to","Then, Megan and Christopher were working at the station. Christopher decided to give a necklace to",19717,45867
462,"Then, Jose and Christine went to the house. Jose gave a snack to","Then, Jose and Christine went to the house. Christopher gave a snack to","Then, Jose and Christine went to the house. Christine gave a snack to",36449,7924
275,"Then, Lindsay and Nicholas were working at the school. Lindsay decided to give a ring to","Then, Lindsay and Nicholas were working at the school. Ryan decided to give a ring to","Then, Lindsay and Nicholas were working at the school. Nicholas decided to give a ring to",26876,44056
539,"After Rachel and Katherine went to the school, Katherine gave a snack to","After Rachel and Katherine went to the school, Lisa gave a snack to","After Rachel and Katherine went to the school, Rachel gave a snack to",22739,37497
216,"After Erin and Kenneth went to the restaurant, Kenneth gave a ring to","After Erin and Kenneth went to the restaurant, Christopher gave a ring to","After Erin and Kenneth went to the restaurant, Erin gave a ring to",46604,31270
877,"After Richard and Paul went to the house, Paul gave a computer to","After Richard and Paul went to the house, Lindsey gave a computer to","After Richard and Paul went to the house, Richard gave a computer to",7727,5171
375,"Then, Timothy and Benjamin had a lot of fun at the school. Benjamin gave a basketball to","Then, Timothy and Benjamin had a lot of fun at the school. Jeffrey gave a basketball to","Then, Timothy and Benjamin had a lot of fun at the school. Timothy gave a basketball to",32905,19046
670,"Then, Andrew and Timothy went to the garden. Timothy gave a drink to","Then, Andrew and Timothy went to the garden. Erin gave a drink to","Then, Andrew and Timothy went to the garden. Andrew gave a drink to",11116,32905
304,"Then, John and Jacob were thinking about going to the hospital. Jacob wanted to give a snack to","Then, John and Jacob were thinking about going to the hospital. William wanted to give a snack to","Then, John and Jacob were thinking about going to the hospital. John wanted to give a snack to",2516,14737
478,"Then, Bradley and Christina were thinking about going to the station. Bradley wanted to give a bone to","Then, Bradley and Christina were thinking about going to the station. Daniel wanted to give a bone to","Then, Bradley and Christina were thinking about going to the station. Christina wanted to give a bone to",47831,27991
105,"Then, Jason and Nicole were thinking about going to the school. Nicole wanted to give a bone to","Then, Jason and Nicole were thinking about going to the school. Kelly wanted to give a bone to","Then, Jason and Nicole were thinking about going to the school. Jason wanted to give a bone to",16553,37930
164,"Then, Richard and Timothy had a long argument, and afterwards Timothy said to","Then, Richard and Timothy had a long argument, and afterwards Samuel said to","Then, Richard and Timothy had a long argument, and afterwards Richard said to",7727,32905
628,"Then, Rebecca and Tyler were thinking about going to the garden. Tyler wanted to give a bone to","Then, Rebecca and Tyler were thinking about going to the garden. Katie wanted to give a bone to","Then, Rebecca and Tyler were thinking about going to the garden. Rebecca wanted to give a bone to",31959,26953
123,"Then, Andrea and Amy were working at the school. Amy decided to give a basketball to","Then, Andrea and Amy were working at the school. Travis decided to give a basketball to","Then, Andrea and Amy were working at the school. Andrea decided to give a basketball to",35944,22138
721,"When Brandon and Jason got a snack at the house, Jason decided to give it to","When Brandon and Jason got a snack at the house, Joseph decided to give it to","When Brandon and Jason got a snack at the house, Brandon decided to give it to",29040,16553
936,"After Jason and Andrew went to the restaurant, Andrew gave a snack to","After Jason and Andrew went to the restaurant, Patrick gave a snack to","After Jason and Andrew went to the restaurant, Jason gave a snack to",16553,11116
948,"Then, Benjamin and Robert were working at the station. Benjamin decided to give a necklace to","Then, Benjamin and Robert were working at the station. Cody decided to give a necklace to","Then, Benjamin and Robert were working at the station. Robert decided to give a necklace to",6911,19046
946,"Then, Tyler and Stephanie went to the hospital. Tyler gave a necklace to","Then, Tyler and Stephanie went to the hospital. Kelly gave a necklace to","Then, Tyler and Stephanie went to the hospital. Stephanie gave a necklace to",38150,26953
864,"Then, Andrea and Brian were working at the house. Andrea decided to give a snack to","Then, Andrea and Brian were working at the house. James decided to give a snack to","Then, Andrea and Brian were working at the house. Brian decided to give a snack to",14468,35944
737,"After Patrick and Ashley went to the station, Patrick gave a computer to","After Patrick and Ashley went to the station, James gave a computer to","After Patrick and Ashley went to the station, Ashley gave a computer to",33747,15435
67,"When Rebecca and Mary got a computer at the store, Mary decided to give it to","When Rebecca and Mary got a computer at the store, Lindsay decided to give it to","When Rebecca and Mary got a computer at the store, Rebecca decided to give it to",31959,6393
230,"Then, Melissa and Matthew were thinking about going to the station. Matthew wanted to give a kiss to","Then, Melissa and Matthew were thinking about going to the station. Christine wanted to give a kiss to","Then, Melissa and Matthew were thinking about going to the station. Melissa wanted to give a kiss to",38994,18322
300,"Then, Crystal and Jennifer went to the school. Crystal gave a bone to","Then, Crystal and Jennifer went to the school. Adam gave a bone to","Then, Crystal and Jennifer went to the school. Jennifer gave a bone to",26355,29509
555,"Then, Nathan and Kelly had a lot of fun at the station. Nathan gave a ring to","Then, Nathan and Kelly had a lot of fun at the station. Benjamin gave a ring to","Then, Nathan and Kelly had a lot of fun at the station. Kelly gave a ring to",14943,23662
742,"Then, Timothy and Amy had a long argument, and afterwards Amy said to","Then, Timothy and Amy had a long argument, and afterwards Daniel said to","Then, Timothy and Amy had a long argument, and afterwards Timothy said to",32905,22138
405,"When Paul and Benjamin got a computer at the store, Benjamin decided to give it to","When Paul and Benjamin got a computer at the store, Kelly decided to give it to","When Paul and Benjamin got a computer at the store, Paul decided to give it to",5171,19046
482,"Then, Benjamin and Anthony had a long argument, and afterwards Anthony said to","Then, Benjamin and Anthony had a long argument, and afterwards Laura said to","Then, Benjamin and Anthony had a long argument, and afterwards Benjamin said to",19046,16358
820,"Then, Heather and Travis had a long argument, and afterwards Heather said to","Then, Heather and Travis had a long argument, and afterwards Jamie said to","Then, Heather and Travis had a long argument, and afterwards Travis said to",35382,37083
252,"After Kevin and Eric went to the garden, Kevin gave a drink to","After Kevin and Eric went to the garden, Nicole gave a drink to","After Kevin and Eric went to the garden, Eric gave a drink to",12284,15273
174,"Then, Allison and Katherine were thinking about going to the restaurant. Allison wanted to give a computer to","Then, Allison and Katherine were thinking about going to the restaurant. Cody wanted to give a computer to","Then, Allison and Katherine were thinking about going to the restaurant. Katherine wanted to give a computer to",37497,45664
704,"After Ashley and Kelly went to the house, Kelly gave a kiss to","After Ashley and Kelly went to the house, Jessica gave a kiss to","After Ashley and Kelly went to the house, Ashley gave a kiss to",33747,14943
401,"Then, Robert and Thomas were working at the restaurant. Robert decided to give a drink to","Then, Robert and Thomas were working at the restaurant. Michelle decided to give a drink to","Then, Robert and Thomas were working at the restaurant. Thomas decided to give a drink to",7195,6911
39,"Then, Megan and Patrick had a long argument, and afterwards Patrick said to","Then, Megan and Patrick had a long argument, and afterwards William said to","Then, Megan and Patrick had a long argument, and afterwards Megan said to",45867,15435
88,"Then, Nathan and Jacob had a lot of fun at the house. Jacob gave a bone to","Then, Nathan and Jacob had a lot of fun at the house. Kevin gave a bone to","Then, Nathan and Jacob had a lot of fun at the house. Nathan gave a bone to",23662,14737
794,"When Katherine and Kenneth got a drink at the office, Kenneth decided to give it to","When Katherine and Kenneth got a drink at the office, Benjamin decided to give it to","When Katherine and Kenneth got a drink at the office, Katherine decided to give it to",37497,31270
833,"Then, Megan and Samuel were working at the school. Megan decided to give a drink to","Then, Megan and Samuel were working at the school. Brian decided to give a drink to","Then, Megan and Samuel were working at the school. Samuel decided to give a drink to",20628,45867
126,"Then, Travis and Ashley had a lot of fun at the restaurant. Ashley gave a bone to","Then, Travis and Ashley had a lot of fun at the restaurant. Andrea gave a bone to","Then, Travis and Ashley had a lot of fun at the restaurant. Travis gave a bone to",35382,33747
599,"After Ryan and Eric went to the garden, Eric gave a drink to","After Ryan and Eric went to the garden, Nathan gave a drink to","After Ryan and Eric went to the garden, Ryan gave a drink to",13114,12284
529,"Then, Nathan and Thomas had a long argument, and afterwards Thomas said to","Then, Nathan and Thomas had a long argument, and afterwards Crystal said to","Then, Nathan and Thomas had a long argument, and afterwards Nathan said to",23662,7195
418,"When Shannon and Gregory got a snack at the hospital, Gregory decided to give it to","When Shannon and Gregory got a snack at the hospital, Crystal decided to give it to","When Shannon and Gregory got a snack at the hospital, Shannon decided to give it to",35175,28991
83,"Then, Robert and Christopher were working at the house. Robert decided to give a kiss to","Then, Robert and Christopher were working at the house. Heather decided to give a kiss to","Then, Robert and Christopher were working at the house. Christopher decided to give a kiss to",19717,6911
863,"Then, Lindsay and John were thinking about going to the store. John wanted to give a computer to","Then, Lindsay and John were thinking about going to the store. Emily wanted to give a computer to","Then, Lindsay and John were thinking about going to the store. Lindsay wanted to give a computer to",44056,2516
203,"When Amanda and Crystal got a ring at the hospital, Amanda decided to give it to","When Amanda and Crystal got a ring at the hospital, Nathan decided to give it to","When Amanda and Crystal got a ring at the hospital, Crystal decided to give it to",29509,33811
595,"Then, Cody and Mary had a long argument, and afterwards Mary said to","Then, Cody and Mary had a long argument, and afterwards Brian said to","Then, Cody and Mary had a long argument, and afterwards Cody said to",48545,6393
767,"Then, Jonathan and David were working at the hospital. Jonathan decided to give a computer to","Then, Jonathan and David were working at the hospital. Scott decided to give a computer to","Then, Jonathan and David were working at the hospital. David decided to give a computer to",5119,18985
96,"Then, Charles and Matthew had a lot of fun at the house. Charles gave a necklace to","Then, Charles and Matthew had a lot of fun at the house. Daniel gave a necklace to","Then, Charles and Matthew had a lot of fun at the house. Matthew gave a necklace to",18322,8444
194,"When Matthew and Crystal got a ring at the school, Matthew decided to give it to","When Matthew and Crystal got a ring at the school, Katherine decided to give it to","When Matthew and Crystal got a ring at the school, Crystal decided to give it to",29509,18322
930,"Then, Jose and Katie were thinking about going to the station. Jose wanted to give a snack to","Then, Jose and Katie were thinking about going to the station. Nathan wanted to give a snack to","Then, Jose and Katie were thinking about going to the station. Katie wanted to give a snack to",37073,7924
685,"Then, Sarah and David were thinking about going to the restaurant. Sarah wanted to give a bone to","Then, Sarah and David were thinking about going to the restaurant. Shannon wanted to give a bone to","Then, Sarah and David were thinking about going to the restaurant. David wanted to give a bone to",5119,15458
118,"Then, Heather and Nicholas went to the station. Heather gave a snack to","Then, Heather and Nicholas went to the station. Jessica gave a snack to","Then, Heather and Nicholas went to the station. Nicholas gave a snack to",26876,37083
193,"After Lindsay and Anthony went to the restaurant, Lindsay gave a ring to","After Lindsay and Anthony went to the restaurant, Bryan gave a ring to","After Lindsay and Anthony went to the restaurant, Anthony gave a ring to",16358,44056
135,"Then, Nathan and Ryan went to the store. Ryan gave a necklace to","Then, Nathan and Ryan went to the store. Paul gave a necklace to","Then, Nathan and Ryan went to the store. Nathan gave a necklace to",23662,13114
789,"Then, Jennifer and Angela were thinking about going to the restaurant. Angela wanted to give a kiss to","Then, Jennifer and Angela were thinking about going to the restaurant. Nicholas wanted to give a kiss to","Then, Jennifer and Angela were thinking about going to the restaurant. Jennifer wanted to give a kiss to",26355,29804
914,"Then, Robert and Jennifer had a long argument, and afterwards Jennifer said to","Then, Robert and Jennifer had a long argument, and afterwards Jeffrey said to","Then, Robert and Jennifer had a long argument, and afterwards Robert said to",6911,26355
484,"Then, Mary and Jeffrey were working at the house. Mary decided to give a necklace to","Then, Mary and Jeffrey were working at the house. Heather decided to give a necklace to","Then, Mary and Jeffrey were working at the house. Jeffrey decided to give a necklace to",30274,6393
977,"After Katie and Jason went to the hospital, Jason gave a necklace to","After Katie and Jason went to the hospital, Daniel gave a necklace to","After Katie and Jason went to the hospital, Katie gave a necklace to",37073,16553
483,"Then, Daniel and Justin had a long argument, and afterwards Justin said to","Then, Daniel and Justin had a long argument, and afterwards James said to","Then, Daniel and Justin had a long argument, and afterwards Daniel said to",10213,20839
6,"Then, Kenneth and Jeremy had a long argument, and afterwards Kenneth said to","Then, Kenneth and Jeremy had a long argument, and afterwards Paul said to","Then, Kenneth and Jeremy had a long argument, and afterwards Jeremy said to",25413,31270
847,"Then, Mary and David went to the station. Mary gave a bone to","Then, Mary and David went to the station. Andrea gave a bone to","Then, Mary and David went to the station. David gave a bone to",5119,6393
893,"Then, Emily and Christopher went to the house. Christopher gave a necklace to","Then, Emily and Christopher went to the house. William gave a necklace to","Then, Emily and Christopher went to the house. Emily gave a necklace to",24504,19717
644,"Then, Laura and Richard had a lot of fun at the store. Laura gave a computer to","Then, Laura and Richard had a lot of fun at the store. Sara gave a computer to","Then, Laura and Richard had a lot of fun at the store. Richard gave a computer to",7727,21960
296,"After Christopher and Cody went to the garden, Christopher gave a snack to","After Christopher and Cody went to the garden, Emily gave a snack to","After Christopher and Cody went to the garden, Cody gave a snack to",48545,19717
430,"Then, Matthew and Charles went to the school. Charles gave a drink to","Then, Matthew and Charles went to the school. Cody gave a drink to","Then, Matthew and Charles went to the school. Matthew gave a drink to",18322,8444
238,"Then, Amy and Jose were working at the hospital. Amy decided to give a bone to","Then, Amy and Jose were working at the hospital. Paul decided to give a bone to","Then, Amy and Jose were working at the hospital. Jose decided to give a bone to",7924,22138
277,"When Lauren and Travis got a ring at the restaurant, Lauren decided to give it to","When Lauren and Travis got a ring at the restaurant, Jacob decided to give it to","When Lauren and Travis got a ring at the restaurant, Travis decided to give it to",35382,33821
540,"Then, Eric and Stephanie had a lot of fun at the school. Eric gave a drink to","Then, Eric and Stephanie had a lot of fun at the school. Brian gave a drink to","Then, Eric and Stephanie had a lot of fun at the school. Stephanie gave a drink to",38150,12284
54,"Then, Michael and Paul had a lot of fun at the hospital. Paul gave a drink to","Then, Michael and Paul had a lot of fun at the hospital. Tyler gave a drink to","Then, Michael and Paul had a lot of fun at the hospital. Michael gave a drink to",6277,5171
